candidate_id	predicted_label	p_protein_only	p_context	delta_p	family	host_group	genome_id	description	hypothetical_or_uncharacterized	exact_transfer_flag	module_cluster_id	module_neighborhood_signature	module_weak_label_counts	tm_helix_count	signal_peptide_score	disorder_score	nearest_homolog_accession	nearest_homolog_identity	domain_or_remote_hit	structure_hit	neighbor_products_window	not_annotation_leakage_note	caveat
YP_438172.1	portal_terminase_packaging	0.536279022693634	0.9893968105316162	0.4531177878379822	Gammaherpesvirinae	Metazoa	NC_007646.1	ORF49	0		0	CDS|CDS|CDS	{}	3.0	0.61875	0.4469135802469135					-5:ORF45 | -4:ORF46 | -3:ORF47 | -2:ORF48 | -1:ORF50 | 0:*ORF49 | 1:Ov6 protein | 2:Ov7 protein | 3:Ov8 protein | 4:ORF52 | 5:ORF53	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_010084498.1	portal_terminase_packaging	0.5738294720649719	0.9922285676002502	0.4183990955352783	Gammaherpesvirinae	Metazoa	NC_055139.1	minor capsid protein	0		0	CDS|CDS|CDS	"{""capsid_head"": 1, ""helicase"": 1}"	0.0	0.41875	0.46626712328767117					-5:deoxyribonuclease | -4:glycoprotein M | -3:helicase/primase | -2:helicase/primase | -1:hypothetical protein | 0:*minor capsid protein | 1:DNA helicase-primase complex component | 2:EBV BKRF4-like protein | 3:uracil DNA glycosylase | 4:hypothetical protein | 5:glycoprotein L	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_010658686.1	portal_terminase_packaging	0.5788905024528503	0.9921548962593079	0.4132643938064575	Rhodovirinae	Bacteria	NC_070859.1	hypothetical protein	1		0	CDS|CDS|CDS	"{""portal_terminase_packaging"": 1}"	0.0	0.325	0.49323144104803485					-5:endolysin | -4:hypothetical protein | -3:hypothetical protein | -2:virion structural protein | -1:terminase large subunit | 0:*hypothetical protein | 1:virion structural protein	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_009043771.1	portal_terminase_packaging	0.6029278039932251	0.9947941899299622	0.39186638593673706	Rhodovirinae	Bacteria	NC_024367.1	hypothetical protein	1		0	CDS|CDS|CDS	{}	0.0	0.5750000000000001	0.4919213973799126					-4:nucleoside 2-deoxyribosyltransferase | -3:hypothetical protein | -2:virion structural protein | -1:virion structural protein | 0:*hypothetical protein | 1:hypothetical protein | 2:virion structural protein | 3:hypothetical protein | 4:hypothetical protein | 5:endolysin	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_009875551.1	portal_terminase_packaging	0.6376272439956665	0.9911086559295654	0.3534814119338989	Rhodovirinae	Bacteria	NC_049371.1	hypothetical protein	1		0	CDS|CDS|CDS	"{""portal_terminase_packaging"": 1}"	0.0	0.35000000000000003	0.48847826086956514					-5:endolysin | -4:hypothetical protein | -3:hypothetical protein | -2:virion structural protein | -1:terminase subunit A | 0:*hypothetical protein | 1:virion structural protein | 2:virion structural protein | 3:virion protein | 4:hypothetical protein	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_009874071.1	portal_terminase_packaging	0.6457206606864929	0.9907552599906921	0.3450345993041992	Rhodovirinae	Bacteria	NC_049345.1	N4 gp69-like protein	0		0	CDS|CDS|CDS	{}	0.0	0.325	0.4877729257641922					-5:endolysin | -4:hypothetical protein | -3:hypothetical protein | -2:virion structural protein | -1:N4 gp68-like protein | 0:*N4 gp69-like protein | 1:virion structural protein | 2:virion structural protein | 3:structural protein | 4:hypothetical protein | 5:nucleoside 2-deoxyribosyltransferase	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_009882250.1	tail_assembly	0.6498330235481262	0.9918911457061768	0.34205812215805054	Twarogvirinae	Bacteria	NC_049445.1	baseplate wedge subunit	0		0	CDS|CDS|CDS	"{""tail_assembly"": 1, ""tail_fiber_receptor"": 3}"	1.0	0.66875	0.5160330578512397					-5:head closure Hc2 | -4:head-tail adaptor Ad2 | -3:fibritin neck whisker | -2:tail collar fiber protein | -1:baseplate wedge subunit | 0:*baseplate wedge subunit | 1:baseplate wedge tail fiber protein connector | 2:baseplate wedge subunit | 3:baseplate wedge subunit | 4:baseplate wedge subunit | 5:PAAR motif of membran proteins	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_010681710.1	polymerase	0.6689280867576599	0.9902760982513428	0.32134801149368286	Heleneionescovirinae	Bacteria	NC_071050.1	ATPase	0		0	CDS|CDS|CDS	"{""nuclease"": 1}"	1.0	0.5375000000000001	0.469208211143695					-5:hypothetical protein | -4:hypothetical protein | -3:ATP-dependent DNA ligase | -2:ATP-dependent protease | -1:hypothetical protein | 0:*ATPase | 1:homing endonuclease | 2:RNA ligase | 3:protease | 4:nucleotidyltransferase | 5:hypothetical protein	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_009887186.1	tail_assembly	0.7186368703842163	0.9920297861099243	0.273392915725708	Twarogvirinae	Bacteria	NC_049494.1	baseplate wedge subunit	0		0	CDS|CDS|CDS	"{""tail_assembly"": 1, ""tail_fiber_receptor"": 3}"	1.0	0.66875	0.5193388429752066					-5:head closure Hc2 | -4:head-tail adaptor Ad2 | -3:fibritin neck whisker | -2:tail collar fiber protein | -1:baseplate wedge subunit | 0:*baseplate wedge subunit | 1:baseplate wedge tail fiber protein connector | 2:baseplate wedge subunit | 3:baseplate wedge subunit | 4:baseplate wedge subunit | 5:PAAR motif of membran proteins	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_008433402.1	lysis	0.7451348304748535	0.9951329827308655	0.24999815225601196	Baikalvirus	Bacteria	NC_022096.1	putative VgrG-like protein	0		0	CDS|CDS|CDS	{}	1.0	0.39375	0.6015731292517006					-5:hypothetical protein | -4:hypothetical protein | -3:putative baseplate hub subunit | -2:tail sheath | -1:PmgG-like head morphogenesis | 0:*putative VgrG-like protein | 1:hypothetical protein | 2:hypothetical protein | 3:tail tube | 4:putative tail tube protein | 5:tail sheath	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_009337908.1	capsid_head	0.7561123967170715	0.9924916625022888	0.23637926578521729	Riboviria	root	NC_033329.1	hypothetical protein 2	1		0	CDS|CDS	{}	1.0	0.36875	0.4943902439024391					-1:hypothetical protein 1 | 0:*hypothetical protein 2	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_010681552.1	polymerase	0.7685944437980652	0.9967441558837891	0.22814971208572388	Heleneionescovirinae	Bacteria	NC_071049.1	polynucleotide kinase	0		0	CDS|CDS|CDS	"{""ligase"": 1}"	0.0	0.6312500000000001	0.45665680473372783					-5:hypothetical protein | -4:DNA ligase | -3:ATP-dependent protease | -2:PQ loop repeat protein | -1:hypothetical protein | 0:*polynucleotide kinase | 1:RNA ligase | 2:hypothetical protein | 3:hypothetical protein | 4:subtilisin DY | 5:chaperone protein	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_009507868.1	nucleocapsid	0.7662862539291382	0.9894487857818604	0.22316253185272217	Peribunyaviridae	Metazoa	NC_038726.1	nucleocapsid protein	0		9	CDS	"{""nucleocapsid"": 1}"	0.0	0.325	0.4721518987341772					0:*nucleocapsid protein	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
YP_010740217.1	polymerase	0.7843865156173706	0.9932116270065308	0.20882511138916016	Heleneionescovirinae	Bacteria	NC_073050.1	hypothetical protein	1		0	CDS|CDS|CDS	"{""nuclease"": 1}"	1.0	0.5375000000000001	0.46818181818181814					-5:hypothetical protein | -4:hypothetical protein | -3:DNA ligase | -2:hypothetical protein | -1:hypothetical protein | 0:*hypothetical protein | 1:homing endonuclease | 2:RNA ligase | 3:intracellular serine protease | 4:hypothetical protein | 5:hypothetical protein	de novo model excludes product text, database hits, neighbor labels, and annotation-derived priors	computational candidate; independent validation required
