protein_accession	foldseek_rank	query	target	evalue	bits	prob	alnlen	pident	lddt	alntmscore	qtmscore	ttmscore	taxid	taxname
YP_009005751.1	2	YP_009005751.1	3n3f-assembly1_A	5.179E+00	45	0.326	47	6.300	6.717E-01	7.624E-01	1.317E-01	6.390E-01	9606	Homo sapiens
YP_009005751.1	3	YP_009005751.1	6x3m-assembly3_H	2.299E-01	44	0.301	140	14.200	5.599E-01	2.830E-01	1.151E-01	9.991E-02	12366	Streptococcus pyogenes phage H4489A
YP_009005751.1	4	YP_009005751.1	1yu4-assembly1_C	2.923E+00	42	0.254	43	18.600	5.554E-01	6.250E-01	1.156E-01	9.371E-02	263374	Bordetella phage BMP-1
YP_009005751.1	5	YP_009005751.1	3hon-assembly1_A	2.266E+00	40	0.214	55	3.600	5.136E-01	5.510E-01	1.088E-01	4.659E-01	9606	Homo sapiens
YP_009005751.1	6	YP_009005751.1	6x3m-assembly2_D	7.218E-01	37	0.164	134	13.400	5.547E-01	2.794E-01	1.268E-01	1.129E-01	12366	Streptococcus pyogenes phage H4489A
YP_009005751.1	7	YP_009005751.1	3eka-assembly1_A	9.308E-01	37	0.164	107	14.000	5.505E-01	3.171E-01	1.157E-01	1.057E-01	1314	Streptococcus pyogenes
YP_009005751.1	8	YP_009005751.1	1yu3-assembly1_A	4.280E+00	36	0.150	38	21.000	4.984E-01	6.185E-01	1.063E-01	8.623E-02	263375	Bordetella phage BIP-1
YP_009005751.1	9	YP_009005751.1	6x3m-assembly1_B	4.341E-01	36	0.150	113	15.900	5.124E-01	2.479E-01	1.008E-01	8.767E-02	12366	Streptococcus pyogenes phage H4489A
YP_009005751.1	10	YP_009005751.1	6x3m-assembly2_E	4.074E-01	34	0.126	140	16.400	4.512E-01	2.535E-01	1.154E-01	1.009E-01	12366	Streptococcus pyogenes phage H4489A
YP_009005751.1	11	YP_009005751.1	1yu2-assembly1_A	5.881E+00	34	0.126	43	23.200	5.399E-01	6.003E-01	1.141E-01	9.241E-02	263374	Bordetella phage BMP-1
YP_009005751.1	12	YP_009005751.1	1yu1-assembly1_A-3	3.114E+00	34	0.126	49	18.300	4.446E-01	5.297E-01	8.688E-02	7.186E-02	194699	Rauchvirus BPP1
YP_009005751.1	13	YP_009005751.1	6x3m-assembly1_C	4.626E-01	33	0.116	178	14.000	5.064E-01	2.154E-01	1.033E-01	8.698E-02	12366	Streptococcus pyogenes phage H4489A
YP_009005751.1	14	YP_009005751.1	2c3f-assembly1_A	4.930E-01	32	0.106	188	12.200	4.316E-01	2.373E-01	1.175E-01	1.106E-01	1314	Streptococcus pyogenes
YP_009005751.1	15	YP_009005751.1	2dp5-assembly1_A	1.996E+00	29	0.082	88	15.900	5.117E-01	2.875E-01	9.410E-02	8.680E-02	1314	Streptococcus pyogenes
YP_009005751.1	16	YP_009005751.1	3rmp-assembly1_C	9.177E+00	21	0.034	40	17.500	4.875E-01	3.339E-01	8.761E-02	2.425E-01	632	Yersinia pestis
YP_009005751.1	17	YP_009005751.1	3jtz-assembly1_A	7.583E+00	21	0.034	45	22.200	4.671E-01	3.082E-01	8.602E-02	2.210E-01	632	Yersinia pestis
YP_009005751.1	18	YP_009005751.1	5itd-assembly1_B	3.537E+00	19	0.024	173	9.800	5.200E-01	1.608E-01	8.465E-02	1.021E-01	9606	Homo sapiens
YP_009005751.1	19	YP_009005751.1	4jps-assembly1_B	7.583E+00	18	0.020	167	9.500	5.129E-01	1.968E-01	1.116E-01	1.372E-01	9606	Homo sapiens
YP_009005751.1	20	YP_009005751.1	6wjd-assembly1_E	8.081E+00	16	0.014	168	11.300	4.963E-01	1.786E-01	1.093E-01	9.260E-02	9606	Homo sapiens
YP_009874070.1	1	YP_009874070.1	8dgc-assembly1_H	1.481E-17	398	1.000	559	14.800	5.116E-01	5.187E-01	4.600E-01	4.593E-01	2744002	Escherichia phage PhiV-1
YP_009874070.1	2	YP_009874070.1	6z6d-assembly1_A	1.921E-11	240	1.000	514	12.800	4.283E-01	4.843E-01	4.112E-01	4.503E-01	37554	Byrnievirus HK97
YP_009874070.1	3	YP_009874070.1	4bij-assembly1_A	1.348E-09	191	1.000	499	11.600	4.487E-01	3.970E-01	3.303E-01	3.675E-01	10760	Escherichia phage T7
YP_009874070.1	4	YP_009874070.1	4bil-assembly1_A	5.696E-10	191	1.000	496	12.500	4.356E-01	3.824E-01	3.205E-01	3.546E-01	10760	Escherichia phage T7
YP_009874070.1	5	YP_009874070.1	4iee-assembly1_A	3.412E-11	218	1.000	487	9.000	4.563E-01	3.896E-01	3.200E-01	3.706E-01	10761	Lederbergvirus Sf6
YP_009874070.1	6	YP_009874070.1	4iei-assembly1_A	1.624E-12	238	1.000	484	9.500	4.447E-01	3.914E-01	3.197E-01	3.732E-01	10761	Lederbergvirus Sf6
YP_009874070.1	7	YP_009874070.1	4ife-assembly1_A	8.077E-11	201	1.000	479	9.800	4.077E-01	3.945E-01	3.161E-01	3.796E-01	10761	Lederbergvirus Sf6
YP_009874070.1	8	YP_009874070.1	3ezk-assembly1_A	7.333E-15	267	1.000	529	14.300	4.570E-01	3.546E-01	3.107E-01	3.029E-01	10665	Tequatrovirus T4
YP_009874070.1	9	YP_009874070.1	6m5r-assembly1_A	2.749E-14	239	1.000	540	14.000	4.042E-01	3.455E-01	3.091E-01	2.634E-01	10299	Human alphaherpesvirus 1 strain 17
YP_009874070.1	10	YP_009874070.1	3cpe-assembly1_A	2.774E-16	305	1.000	485	15.000	4.694E-01	3.821E-01	3.063E-01	2.986E-01	10665	Tequatrovirus T4
YP_009874070.1	11	YP_009874070.1	6m5v-assembly1_A	4.838E-12	214	1.000	523	13.300	4.188E-01	3.615E-01	3.018E-01	2.801E-01	10299	Human alphaherpesvirus 1 strain 17
YP_009874070.1	12	YP_009874070.1	4iox-assembly1_A	1.580E-06	196	1.000	229	15.700	4.965E-01	7.106E-01	2.926E-01	6.276E-01	10298	Human alphaherpesvirus 1
YP_009874070.1	13	YP_009874070.1	3n4q-assembly1_B	7.005E-05	154	1.000	220	14.000	4.925E-01	6.879E-01	2.804E-01	6.040E-01	10363	Human herpesvirus 5 strain Towne
YP_009874070.1	14	YP_009874070.1	6ey7-assembly2_B	6.644E-06	178	1.000	220	13.600	4.978E-01	6.864E-01	2.757E-01	5.830E-01	10360	Human herpesvirus 5 strain AD169
YP_009874070.1	15	YP_009874070.1	3n4p-assembly1_B	2.491E-05	153	1.000	222	13.500	4.454E-01	6.645E-01	2.738E-01	5.726E-01	10363	Human herpesvirus 5 strain Towne
YP_009874070.1	16	YP_009874070.1	6ey7-assembly1_A	4.177E-05	156	1.000	221	13.100	4.883E-01	6.658E-01	2.648E-01	5.651E-01	10360	Human herpesvirus 5 strain AD169
YP_009874070.1	17	YP_009874070.1	3c6a-assembly1_A	3.516E-05	167	1.000	203	10.800	5.214E-01	7.052E-01	2.624E-01	6.482E-01	50948	Escherichia phage RB49
YP_009874070.1	18	YP_009874070.1	6ey7-assembly3_C	3.134E-05	151	1.000	219	14.100	4.640E-01	6.347E-01	2.602E-01	5.500E-01	10360	Human herpesvirus 5 strain AD169
YP_009874070.1	19	YP_009874070.1	6ey7-assembly4_D	9.293E-04	115	1.000	219	11.800	4.512E-01	6.148E-01	2.487E-01	5.444E-01	10360	Human herpesvirus 5 strain AD169
YP_009874070.1	20	YP_009874070.1	3n4q-assembly2_D	7.858E-05	132	1.000	219	11.800	4.195E-01	6.016E-01	2.477E-01	5.348E-01	10363	Human herpesvirus 5 strain Towne
YP_009337301.1	1	YP_009337301.1	2zzq-assembly1_A	1.801E-08	306	1.000	192	16.100	6.405E-01	8.444E-01	7.351E-01	3.201E-01	31769	Hepatitis E virus (strain Myanmar)
YP_009337301.1	2	YP_009337301.1	2izw-assembly1_B	4.826E-12	459	1.000	169	15.900	7.436E-01	8.942E-01	7.264E-01	7.951E-01	119910	Ryegrass mottle virus
YP_009337301.1	3	YP_009337301.1	4y5z-assembly1_1	2.928E-11	415	1.000	193	12.400	6.994E-01	8.741E-01	7.250E-01	7.426E-01	93061	Staphylococcus aureus subsp. aureus NCTC 8325
YP_009337301.1	4	YP_009337301.1	2vq0-assembly1_C	1.266E-10	391	1.000	195	12.300	6.953E-01	8.642E-01	7.214E-01	6.706E-01	12558	Sesbania mosaic virus
YP_009337301.1	5	YP_009337301.1	1x35-assembly1_C	2.948E-10	379	1.000	195	12.300	6.935E-01	8.635E-01	7.201E-01	6.365E-01	12558	Sesbania mosaic virus
YP_009337301.1	6	YP_009337301.1	1x33-assembly1_C	9.032E-11	393	1.000	194	11.800	6.879E-01	8.624E-01	7.198E-01	6.361E-01	12558	Sesbania mosaic virus
YP_009337301.1	7	YP_009337301.1	2wlp-assembly2_B	2.948E-10	384	1.000	192	13.000	7.065E-01	8.731E-01	7.194E-01	7.406E-01	12558	Sesbania mosaic virus
YP_009337301.1	8	YP_009337301.1	6lb0-assembly1_A	3.540E-08	297	1.000	185	15.100	6.322E-01	8.556E-01	7.167E-01	4.525E-01	12461	Paslahepevirus balayani
YP_009337301.1	9	YP_009337301.1	1smv-assembly1_A	1.678E-10	384	1.000	194	12.800	6.854E-01	8.622E-01	7.156E-01	7.190E-01	12558	Sesbania mosaic virus
YP_009337301.1	10	YP_009337301.1	3hag-assembly1_A	3.963E-08	278	1.000	208	15.300	6.270E-01	7.606E-01	7.148E-01	3.201E-01	12461	Paslahepevirus balayani
YP_009337301.1	11	YP_009337301.1	2izw-assembly1_C	5.440E-11	410	1.000	170	16.400	7.154E-01	8.729E-01	7.106E-01	6.753E-01	119910	Ryegrass mottle virus
YP_009337301.1	12	YP_009337301.1	1vb2-assembly1_A	1.974E-11	414	1.000	192	13.000	6.894E-01	8.626E-01	7.097E-01	7.236E-01	12558	Sesbania mosaic virus
YP_009337301.1	13	YP_009337301.1	4sbv-assembly1_B-31	2.948E-10	366	1.000	194	13.400	6.590E-01	8.494E-01	7.078E-01	7.011E-01	12139	Southern bean mosaic virus
YP_009337301.1	14	YP_009337301.1	6lat-assembly1_A	1.368E-07	273	1.000	184	16.300	6.127E-01	8.435E-01	7.077E-01	3.247E-01	12461	Paslahepevirus balayani
YP_009337301.1	15	YP_009337301.1	1c8n-assembly1_A	2.653E-09	340	1.000	188	14.300	6.681E-01	8.523E-01	7.061E-01	7.340E-01	12054	unidentified tobacco necrosis virus
YP_009337301.1	16	YP_009337301.1	2ztn-assembly1_A	7.312E-09	313	1.000	185	14.500	6.222E-01	8.427E-01	7.060E-01	3.139E-01	12461	Paslahepevirus balayani
YP_009337301.1	17	YP_009337301.1	1smv-assembly1_C	3.300E-10	374	1.000	191	12.500	6.832E-01	8.598E-01	7.054E-01	6.306E-01	12558	Sesbania mosaic virus
YP_009337301.1	18	YP_009337301.1	4llf-assembly1_B	3.347E-08	307	1.000	176	19.300	6.771E-01	8.469E-01	7.016E-01	4.855E-01	12143	Cucumber necrosis virus
YP_009337301.1	19	YP_009337301.1	4sbv-assembly1_C	1.788E-09	341	1.000	195	12.800	6.600E-01	8.413E-01	7.011E-01	6.277E-01	12139	Southern bean mosaic virus
YP_009337301.1	20	YP_009337301.1	1c8n-assembly1_C	5.215E-09	331	1.000	186	14.500	6.678E-01	8.536E-01	7.002E-01	6.343E-01	12054	unidentified tobacco necrosis virus
YP_009874071.1	1	YP_009874071.1	7m4z-assembly1_n	6.572E+00	66	0.887	33	24.200	8.143E-01	9.276E-01	1.406E-01	3.161E-01	480119	Acinetobacter baumannii AB0057
YP_009874071.1	2	YP_009874071.1	8g7s-assembly1_n	5.388E+00	59	0.747	37	27.000	7.117E-01	7.899E-01	1.488E-01	3.226E-01	562	Escherichia coli
YP_009874071.1	3	YP_009874071.1	7uxe-assembly1_A	1.214E+00	57	0.692	110	15.400	5.724E-01	4.819E-01	2.264E-01	4.204E-01	2034346	Pseudomonas phage vB_PaeM_E217
YP_009874071.1	4	YP_009874071.1	7nww-assembly1_r	8.017E+00	57	0.692	37	27.000	7.713E-01	8.284E-01	1.501E-01	3.274E-01	562	Escherichia coli
YP_009874071.1	5	YP_009874071.1	5mdy-assembly1_s	8.425E+00	56	0.663	37	27.000	7.656E-01	8.394E-01	1.503E-01	3.291E-01	83333	Escherichia coli K-12
YP_009874071.1	6	YP_009874071.1	8rdv-assembly1_HK	6.907E+00	48	0.411	47	14.800	6.357E-01	6.480E-01	1.161E-01	2.575E-01	45610	Psychrobacter urativorans
YP_009874071.1	7	YP_009874071.1	5h1n-assembly1_B	4.642E+00	47	0.382	68	25.000	6.053E-01	5.506E-01	1.651E-01	5.134E-01	623	Shigella flexneri
YP_009874071.1	8	YP_009874071.1	7egm-assembly1_A	6.572E+00	39	0.196	105	12.300	6.369E-01	4.233E-01	1.821E-01	3.524E-01	559292	Saccharomyces cerevisiae S288C
YP_009874071.1	9	YP_009874071.1	7zcg-assembly1_B	1.155E+00	36	0.150	180	19.400	4.566E-01	2.390E-01	1.724E-01	2.364E-01	9606	Homo sapiens
YP_009874071.1	10	YP_009874071.1	5e15-assembly1_A	3.999E+00	34	0.126	123	10.500	4.389E-01	3.729E-01	2.140E-01	2.219E-01	9606	Homo sapiens
YP_009874071.1	11	YP_009874071.1	3dd7-assembly1_A	3.279E+00	33	0.116	128	12.500	4.042E-01	3.346E-01	2.089E-01	3.159E-01	10678	Punavirus P1
YP_009874071.1	12	YP_009874071.1	4znv-assembly1_A	2.558E+00	32	0.106	137	10.900	4.425E-01	2.707E-01	1.748E-01	1.702E-01	9606	Homo sapiens
YP_009874071.1	13	YP_009874071.1	5dwg-assembly1_A	2.097E+00	32	0.106	129	11.600	3.888E-01	2.781E-01	1.635E-01	1.658E-01	9606	Homo sapiens
YP_009874071.1	14	YP_009874071.1	4mc0-assembly1_A	1.556E+00	31	0.098	190	13.100	4.033E-01	2.248E-01	1.750E-01	1.516E-01	452652	Kitasatospora setae KM-6054
YP_009874071.1	15	YP_009874071.1	5krc-assembly1_A	3.999E+00	30	0.090	134	11.100	3.722E-01	3.342E-01	2.044E-01	2.016E-01	9606	Homo sapiens
YP_009874071.1	16	YP_009874071.1	4mc0-assembly2_B	1.636E+00	30	0.090	190	12.600	4.020E-01	2.182E-01	1.732E-01	1.488E-01	452652	Kitasatospora setae KM-6054
YP_009874071.1	17	YP_009874071.1	5dke-assembly1_B	2.097E+00	30	0.090	142	12.600	3.689E-01	2.634E-01	1.609E-01	1.581E-01	9606	Homo sapiens
YP_009874071.1	18	YP_009874071.1	5die-assembly1_B	2.969E+00	30	0.090	130	13.000	4.055E-01	2.751E-01	1.463E-01	1.432E-01	9606	Homo sapiens
YP_009874071.1	19	YP_009874071.1	5dxp-assembly1_A	6.907E+00	29	0.082	137	9.400	4.359E-01	3.497E-01	2.170E-01	2.224E-01	9606	Homo sapiens
YP_009874071.1	20	YP_009874071.1	3k33-assembly1_A-2	8.017E+00	29	0.082	93	16.100	4.197E-01	3.900E-01	2.070E-01	3.143E-01	10678	Punavirus P1
YP_004010297.1	1	YP_004010297.1	1k28-assembly1_A	4.059E-39	1065	1.000	607	42.300	7.364E-01	5.032E-01	4.605E-01	4.931E-01	10665	Tequatrovirus T4
YP_004010297.1	2	YP_004010297.1	2z6b-assembly1_A	5.309E-39	1033	1.000	596	44.200	7.170E-01	4.888E-01	4.571E-01	4.767E-01	10665	Tequatrovirus T4
YP_004010297.1	3	YP_004010297.1	1wth-assembly1_A	2.641E-39	891	1.000	607	44.600	6.968E-01	3.689E-01	3.431E-01	3.578E-01	10665	Tequatrovirus T4
YP_004010297.1	4	YP_004010297.1	5t04-assembly1_A	7.136E-13	535	1.000	176	36.900	7.986E-01	9.152E-01	2.746E-01	3.559E-01	10116	Rattus norvegicus
YP_004010297.1	5	YP_004010297.1	3oe0-assembly1_A-2	3.340E-14	586	1.000	173	36.900	8.037E-01	9.179E-01	2.731E-01	3.746E-01	9606	Homo sapiens
YP_004010297.1	6	YP_004010297.1	7cn7-assembly1_A	2.655E-16	701	1.000	170	51.100	8.670E-01	9.488E-01	2.715E-01	8.871E-01	10665	Tequatrovirus T4
YP_004010297.1	7	YP_004010297.1	4rws-assembly1_A	2.293E-14	584	1.000	172	36.000	7.888E-01	9.092E-01	2.715E-01	3.676E-01	9606	Homo sapiens
YP_004010297.1	8	YP_004010297.1	5cxv-assembly1_A	9.268E-14	598	1.000	167	37.700	8.409E-01	9.673E-01	2.712E-01	3.646E-01	9606	Homo sapiens
YP_004010297.1	9	YP_004010297.1	5zbh-assembly1_A	1.149E-13	583	1.000	168	36.900	8.248E-01	9.467E-01	2.704E-01	3.496E-01	9606	Homo sapiens
YP_004010297.1	10	YP_004010297.1	6xyr-assembly1_A	1.574E-14	633	1.000	166	37.900	8.492E-01	9.724E-01	2.703E-01	4.623E-01	9606	Homo sapiens
YP_004010297.1	11	YP_004010297.1	6lry-assembly1_A	1.360E-12	543	1.000	167	37.100	8.178E-01	9.593E-01	2.703E-01	3.448E-01	9606	Homo sapiens
YP_004010297.1	12	YP_004010297.1	6e67-assembly1_A	1.673E-13	576	1.000	167	38.300	8.199E-01	9.493E-01	2.691E-01	3.510E-01	9606	Homo sapiens
YP_004010297.1	13	YP_004010297.1	5glh-assembly1_A	1.966E-13	573	1.000	167	37.700	8.199E-01	9.492E-01	2.691E-01	3.548E-01	9606	Homo sapiens
YP_004010297.1	14	YP_004010297.1	6wjc-assembly1_A	4.171E-13	562	1.000	167	37.100	8.262E-01	9.467E-01	2.690E-01	3.600E-01	9606	Homo sapiens
YP_004010297.1	15	YP_004010297.1	4epi-assembly1_A-2	2.060E-14	611	1.000	167	37.100	8.270E-01	9.449E-01	2.689E-01	4.832E-01	632	Yersinia pestis
YP_004010297.1	16	YP_004010297.1	4u14-assembly1_A	3.043E-12	500	1.000	172	36.000	7.881E-01	8.852E-01	2.686E-01	3.641E-01	10116	Rattus norvegicus
YP_004010297.1	17	YP_004010297.1	4daj-assembly6_D	1.039E-12	515	1.000	174	37.300	7.944E-01	8.727E-01	2.685E-01	3.670E-01	10116	Rattus norvegicus
YP_004010297.1	18	YP_004010297.1	6xc1-assembly1_A	3.639E-17	755	1.000	165	50.900	8.880E-01	9.784E-01	2.677E-01	9.441E-01	10665	Tequatrovirus T4
YP_004010297.1	19	YP_004010297.1	6igl-assembly1_A	5.096E-15	628	1.000	167	37.700	8.181E-01	9.354E-01	2.676E-01	3.399E-01	9606	Homo sapiens
YP_004010297.1	20	YP_004010297.1	3v2y-assembly1_A	4.864E-14	603	1.000	165	38.100	8.285E-01	9.623E-01	2.676E-01	3.510E-01	9606	Homo sapiens
YP_004009814.1	1	YP_004009814.1	7ru9-assembly1_C	1.287E+00	43	0.277	230	13.900	4.513E-01	2.898E-01	1.228E-01	2.354E-01	9606	Homo sapiens
YP_004009814.1	2	YP_004009814.1	5cwn-assembly1_A	3.483E-01	43	0.277	244	14.700	3.790E-01	2.273E-01	9.522E-02	2.166E-01	32630	synthetic construct
YP_004009814.1	3	YP_004009814.1	8fbj-assembly1_A	7.840E-01	41	0.233	368	11.900	4.108E-01	2.390E-01	1.439E-01	2.349E-01	32630	synthetic construct
YP_004009814.1	4	YP_004009814.1	7v6q-assembly1_D	5.226E-01	40	0.214	232	13.300	4.180E-01	1.988E-01	1.117E-01	1.997E-01	9606	Homo sapiens
YP_004009814.1	5	YP_004009814.1	6e9t-assembly1_B	4.565E-01	40	0.214	243	13.100	4.022E-01	2.027E-01	1.007E-01	1.948E-01	32630	synthetic construct
YP_004009814.1	6	YP_004009814.1	6xr1-assembly1_A	4.565E-01	39	0.196	351	14.800	4.103E-01	1.848E-01	1.284E-01	1.414E-01	32630	synthetic construct
YP_004009814.1	7	YP_004009814.1	7v6q-assembly2_H	8.580E-01	39	0.196	246	13.400	4.292E-01	2.138E-01	9.140E-02	2.122E-01	9606	Homo sapiens
YP_004009814.1	8	YP_004009814.1	6fel-assembly1_B	1.687E+00	38	0.179	208	13.400	3.611E-01	3.104E-01	1.157E-01	2.589E-01	9606	Homo sapiens
YP_004009814.1	9	YP_004009814.1	6gkf-assembly1_A	1.687E+00	37	0.164	204	12.700	3.590E-01	2.976E-01	1.102E-01	2.467E-01	9606	Homo sapiens
YP_004009814.1	10	YP_004009814.1	9dze-assembly1_B	8.975E-01	37	0.164	313	12.100	4.390E-01	1.952E-01	1.017E-01	1.520E-01	32630	synthetic construct
YP_004009814.1	11	YP_004009814.1	9dze-assembly1_h	3.812E-01	37	0.164	260	13.000	3.830E-01	1.707E-01	7.793E-02	1.376E-01	32630	synthetic construct
YP_004009814.1	12	YP_004009814.1	8v2d-assembly1_y	1.846E+00	35	0.138	340	12.000	4.074E-01	2.458E-01	1.380E-01	2.247E-01	32630	synthetic construct
YP_004009814.1	13	YP_004009814.1	8xyv-assembly1_A	7.810E+00	35	0.138	108	18.500	4.886E-01	3.929E-01	7.661E-02	3.699E-01	32630	synthetic construct
YP_004009814.1	14	YP_004009814.1	5okf-assembly2_D	3.797E+00	34	0.126	174	12.000	3.810E-01	3.371E-01	1.231E-01	2.442E-01	9606	Homo sapiens
YP_004009814.1	15	YP_004009814.1	4y5i-assembly1_A	3.031E+00	34	0.126	202	13.300	3.759E-01	3.055E-01	1.221E-01	2.537E-01	9606	Homo sapiens
YP_004009814.1	16	YP_004009814.1	6fel-assembly1_A	2.648E+00	34	0.126	208	13.900	3.708E-01	3.049E-01	1.139E-01	2.484E-01	9606	Homo sapiens
YP_004009814.1	17	YP_004009814.1	8e0o-assembly1_A	2.897E+00	34	0.126	221	13.500	3.917E-01	2.889E-01	1.008E-01	2.863E-01	32630	synthetic construct
YP_004009814.1	18	YP_004009814.1	7v1m-assembly1_H	8.580E-01	34	0.126	236	13.900	3.686E-01	1.938E-01	9.573E-02	1.924E-01	9606	Homo sapiens
YP_004009814.1	19	YP_004009814.1	3gw4-assembly1_A	1.474E+00	34	0.126	233	15.000	3.700E-01	2.344E-01	8.211E-02	2.052E-01	243230	Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539
YP_004009814.1	20	YP_004009814.1	8g9k-assembly1_A	3.630E+00	33	0.116	245	12.600	4.079E-01	2.981E-01	1.196E-01	2.933E-01	32630	synthetic construct
YP_009882250.1	1	YP_009882250.1	5iv5-assembly1_I	5.038E-47	702	1.000	620	50.600	5.818E-01	2.317E-01	2.303E-01	2.313E-01	10665	Tequatrovirus T4
YP_009882250.1	2	YP_009882250.1	5iv7-assembly1_F	3.685E-08	172	1.000	311	17.300	4.808E-01	4.130E-01	2.219E-01	3.805E-01	10665	Tequatrovirus T4
YP_009882250.1	3	YP_009882250.1	2fkk-assembly1_A	8.596E-14	412	1.000	160	58.700	6.664E-01	6.897E-01	1.914E-01	5.620E-01	10665	Tequatrovirus T4
YP_009882250.1	4	YP_009882250.1	5hx2-assembly1_G	1.955E-13	368	1.000	155	67.000	6.140E-01	6.236E-01	1.870E-01	3.115E-01	10665	Tequatrovirus T4
YP_009882250.1	5	YP_009882250.1	2fl8-assembly1_A	1.945E-21	382	1.000	613	29.600	5.682E-01	3.111E-01	1.856E-01	3.103E-01	10665	Tequatrovirus T4
YP_009882250.1	6	YP_009882250.1	5hx2-assembly1_H	4.133E-12	192	1.000	615	29.500	4.122E-01	3.046E-01	1.834E-01	3.038E-01	10665	Tequatrovirus T4
YP_009882250.1	7	YP_009882250.1	5hx2-assembly1_I	1.296E-13	217	1.000	624	29.000	4.288E-01	3.056E-01	1.826E-01	3.048E-01	10665	Tequatrovirus T4
YP_009882250.1	8	YP_009882250.1	7rej-assembly1_A	5.796E-11	223	1.000	357	11.400	5.587E-01	3.604E-01	1.802E-01	2.911E-01	1987159	Kuttervirus CBA120
YP_009882250.1	9	YP_009882250.1	7rfo-assembly1_B	9.967E-12	247	1.000	354	12.100	5.566E-01	3.959E-01	1.735E-01	3.015E-01	1987159	Kuttervirus CBA120
