protein_id	genome_id	family	host_group	y_true	p_protein	p_context	delta_p	product_text_posthoc	synonym_flag	local_module	notes	audit_category
YP_010839547.1	NC_077925.1	Peribunyaviridae	10090	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9854472875595093	MISSING_IN_RETURNED_QC_PACKAGE	nucleoprotein	1	9	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_010840706.1	NC_078950.1	Peribunyaviridae	10088	0	MISSING_IN_RETURNED_QC_PACKAGE	0.985331654548645	MISSING_IN_RETURNED_QC_PACKAGE	N	1	9	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_009336609.1	NC_032789.1	Riboviria	1	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9836269617080688	MISSING_IN_RETURNED_QC_PACKAGE	hypothetical protein 1	0	0	insufficient evidence; Returned QC package does not include enough post hoc evidence.	insufficient evidence
YP_009336502.1	NC_032735.1	Riboviria	1	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9830309152603149	MISSING_IN_RETURNED_QC_PACKAGE	hypothetical protein	0	0	insufficient evidence; Returned QC package does not include enough post hoc evidence.	insufficient evidence
YP_009362052.1	NC_034481.1	Peribunyaviridae	62324	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9823221564292908	MISSING_IN_RETURNED_QC_PACKAGE	nucleoprotein	1	8	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_007697632.1	NC_020899.1	Hexponivirinae	2912049	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9821913838386536	MISSING_IN_RETURNED_QC_PACKAGE	ORF2b	0	0	possible true false positive; Post hoc product text does not support nucleocapsid; review with domain/structure evidence.	possible true false positive
YP_009337067.1	NC_033006.1	Riboviria	1	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9817599058151245	MISSING_IN_RETURNED_QC_PACKAGE	putative nucleoprotein	1	9	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_010839616.1	NC_077980.1	Peribunyaviridae	10090	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9807696342468262	MISSING_IN_RETURNED_QC_PACKAGE	N protein	1	8	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
NP_671970.1	NC_004110.1	Peribunyaviridae	13712	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9804186224937439	MISSING_IN_RETURNED_QC_PACKAGE	nucleoprotein	1	8	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_010800932.1	NC_076922.1	Xinmoviridae	494771	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9793441891670227	MISSING_IN_RETURNED_QC_PACKAGE	nucleoprotein	1	0	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_009026381.1	NC_023986.1	Hexponivirinae	569586	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9789844155311584	MISSING_IN_RETURNED_QC_PACKAGE	ORF 2b	0	0	possible true false positive; Post hoc product text does not support nucleocapsid; review with domain/structure evidence.	possible true false positive
YP_009336725.1	NC_032849.1	Xinmoviridae	1	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9783169627189636	MISSING_IN_RETURNED_QC_PACKAGE	hypothetical protein 1	0	0	insufficient evidence; Returned QC package does not include enough post hoc evidence.	insufficient evidence
YP_010840648.1	NC_078899.1	Peribunyaviridae	9545	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9778171181678772	MISSING_IN_RETURNED_QC_PACKAGE	N	1	-1	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_010085092.1	NC_055206.1	Peribunyaviridae	10036	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9737232327461243	MISSING_IN_RETURNED_QC_PACKAGE	N protein	1	8	likely synonym / missed label; Post hoc product text contains N/nucleoprotein/nucleocapsid wording.	likely synonym / missed label
YP_009342298.1	NC_033443.1	Riboviria	1	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9684309363365173	MISSING_IN_RETURNED_QC_PACKAGE	hypothetical protein 1	0	0	insufficient evidence; Returned QC package does not include enough post hoc evidence.	insufficient evidence
YP_009337074.1	NC_033008.1	Riboviria	1	0	MISSING_IN_RETURNED_QC_PACKAGE	0.9645231366157532	MISSING_IN_RETURNED_QC_PACKAGE	hypothetical protein 1	0	0	insufficient evidence; Returned QC package does not include enough post hoc evidence.	insufficient evidence
