protein_accession	probability	true_label	predicted_at_threshold	genome_version	virus_family	host_taxid_key	description	cds_product
YP_010790480.1	0.9895997047424316	0	1	NC_075439.1	Metaparamyxovirinae	1585515	nucleoprotein [Wenling triplecross lizardfish paramyxovirus]	nucleoprotein
YP_010085077.1	0.9893207550048828	0	1	NC_055194.1	Peribunyaviridae	228918	nucleoprotein [Trivittatus virus]	nucleoprotein
NP_982305.1	0.9889320135116577	0	1	NC_005777.1	Peribunyaviridae	9354	nucleoprotein [Oropouche virus]	nucleoprotein
YP_009268864.1	0.9885486364364624	0	1	NC_030661.1	Fimoviridae	3821	RNA3, partial [Emaravirus toordali]	RNA3
YP_010840634.1	0.9874094128608704	0	1	NC_078888.1	Peribunyaviridae	10090	N [Turlock virus]	N
YP_009337008.1	0.9865756630897522	0	1	NC_032982.1	Riboviria	1	putative nucleoprotein [Hubei dimarhabdovirus virus 3]	putative nucleoprotein
YP_010839547.1	0.9854472875595093	0	1	NC_077925.1	Peribunyaviridae	10090	nucleoprotein [Ananindeua virus]	nucleoprotein
YP_010840706.1	0.985331654548645	0	1	NC_078950.1	Peribunyaviridae	10088	N [Bushbush virus]	N
YP_009336609.1	0.9836269617080688	0	1	NC_032789.1	Riboviria	1	hypothetical protein 1 [Hubei tombus-like virus 25]	hypothetical protein 1
YP_009336502.1	0.9830309152603149	0	1	NC_032735.1	Riboviria	1	hypothetical protein [Hubei tetragnatha maxillosa virus 7]	hypothetical protein
YP_009362052.1	0.9823221564292908	0	1	NC_034481.1	Peribunyaviridae	62324	nucleoprotein [Nyando virus]	nucleoprotein
YP_007697632.1	0.9821913838386536	0	1	NC_020899.1	Hexponivirinae	2912049	ORF2b [Alphamesonivirus karangense]	ORF2b
YP_009337067.1	0.9817599058151245	0	1	NC_033006.1	Riboviria	1	putative nucleoprotein [Hubei dimarhabdovirus virus 2]	putative nucleoprotein
YP_010839616.1	0.9807696342468262	0	1	NC_077980.1	Peribunyaviridae	10090	N protein [Nepuyo virus]	N protein
NP_671970.1	0.9804186224937439	0	1	NC_004110.1	Peribunyaviridae	13712	nucleoprotein [La Crosse virus]	nucleoprotein
YP_010800932.1	0.9793441891670227	0	1	NC_076922.1	Xinmoviridae	494771	nucleoprotein [Hymenopteran anphe-related virus OKIAV71]	nucleoprotein
YP_009026381.1	0.9789844155311584	0	1	NC_023986.1	Hexponivirinae	569586	ORF 2b [Casuarina virus]	ORF 2b
YP_009336725.1	0.9783169627189636	0	1	NC_032849.1	Xinmoviridae	1	hypothetical protein 1 [Hubei orthoptera virus 5]	hypothetical protein 1
YP_010840648.1	0.9778171181678772	0	1	NC_078899.1	Peribunyaviridae	9545	N [Telok Forest virus]	N
YP_010085092.1	0.9737232327461243	0	1	NC_055206.1	Peribunyaviridae	10036	N protein [Tahyna virus]	N protein
YP_009342298.1	0.9684309363365173	0	1	NC_033443.1	Riboviria	1	hypothetical protein 1 [Wenzhou tombus-like virus 14]	hypothetical protein 1
YP_009337074.1	0.9645231366157532	0	1	NC_033008.1	Riboviria	1	hypothetical protein 1 [Changjiang tombus-like virus 10]	hypothetical protein 1
