center_accession	neighbor_accession	relative_rank	genome_version	cds_start	cds_end	cds_strand	product	is_center
YP_438172.1	YP_438176.1	4	NC_007646.1	83965	84375	-1	ORF52	0
YP_438172.1	YP_438177.1	5	NC_007646.1	84457	84765	-1	ORF53	0
YP_010084498.1	YP_010084493.1	-5	NC_055139.1	49462	50910	1	deoxyribonuclease	0
YP_010084498.1	YP_010084494.1	-4	NC_055139.1	51115	52257	-1	glycoprotein M	0
YP_010084498.1	YP_010084495.1	-3	NC_055139.1	52463	53899	1	helicase/primase	0
YP_010084498.1	YP_010084496.1	-2	NC_055139.1	54237	54686	1	helicase/primase	0
YP_010084498.1	YP_010084497.1	-1	NC_055139.1	54678	55499	-1	hypothetical protein	0
YP_010084498.1	YP_010084498.1	0	NC_055139.1	55438	57192	-1	minor capsid protein	1
YP_010084498.1	YP_010084499.1	1	NC_055139.1	57167	59521	1	DNA helicase-primase complex component	0
YP_010084498.1	YP_010084500.1	2	NC_055139.1	59565	60629	-1	EBV BKRF4-like protein	0
YP_010084498.1	YP_010084501.1	3	NC_055139.1	60643	61407	-1	uracil DNA glycosylase	0
YP_010084498.1	YP_010084502.1	4	NC_055139.1	61454	61978	-1	hypothetical protein	0
YP_010084498.1	YP_010084503.1	5	NC_055139.1	62040	63623	-1	glycoprotein L	0
YP_010658686.1	YP_010658681.1	-5	NC_070859.1	69229	69876	-1	endolysin	0
YP_010658686.1	YP_010658682.1	-4	NC_070859.1	69873	70067	-1	hypothetical protein	0
YP_010658686.1	YP_010658683.1	-3	NC_070859.1	70069	70410	-1	hypothetical protein	0
YP_010658686.1	YP_010658684.1	-2	NC_070859.1	70410	71078	-1	virion structural protein	0
YP_010658686.1	YP_010658685.1	-1	NC_070859.1	71089	72702	-1	terminase large subunit	0
YP_010658686.1	YP_010658686.1	0	NC_070859.1	72695	73384	-1	hypothetical protein	1
YP_010658686.1	YP_010658687.1	1	NC_070859.1	73459	73779	1	virion structural protein	0
YP_009043771.1	YP_009043767.1	-4	NC_024367.1	1	339	-1	nucleoside 2-deoxyribosyltransferase	0
YP_009043771.1	YP_009043768.1	-3	NC_024367.1	689	1663	-1	hypothetical protein	0
YP_009043771.1	YP_009043769.1	-2	NC_024367.1	1693	4029	-1	virion structural protein	0
YP_009043771.1	YP_009043770.1	-1	NC_024367.1	4029	4349	-1	virion structural protein	0
YP_009043771.1	YP_009043771.1	0	NC_024367.1	4422	5111	1	hypothetical protein	1
YP_009043771.1	YP_009043772.1	1	NC_024367.1	5104	6717	1	hypothetical protein	0
YP_009043771.1	YP_009043773.1	2	NC_024367.1	6727	7395	1	virion structural protein	0
YP_009043771.1	YP_009043774.1	3	NC_024367.1	7395	7802	1	hypothetical protein	0
YP_009043771.1	YP_009043775.1	4	NC_024367.1	7799	8368	1	hypothetical protein	0
YP_009043771.1	YP_009043776.1	5	NC_024367.1	8365	9024	1	endolysin	0
YP_009875551.1	YP_009875546.1	-5	NC_049371.1	67367	68023	-1	endolysin	0
YP_009875551.1	YP_009875547.1	-4	NC_049371.1	68023	68589	-1	hypothetical protein	0
YP_009875551.1	YP_009875548.1	-3	NC_049371.1	68586	68981	-1	hypothetical protein	0
YP_009875551.1	YP_009875549.1	-2	NC_049371.1	68981	69655	-1	virion structural protein	0
YP_009875551.1	YP_009875550.1	-1	NC_049371.1	69666	71276	-1	terminase subunit A	0
YP_009875551.1	YP_009875551.1	0	NC_049371.1	71269	71961	-1	hypothetical protein	1
YP_009875551.1	YP_009875552.1	1	NC_049371.1	72035	72361	1	virion structural protein	0
YP_009875551.1	YP_009875553.1	2	NC_049371.1	72361	74700	1	virion structural protein	0
YP_009875551.1	YP_009875554.1	3	NC_049371.1	74726	75706	1	virion protein	0
YP_009875551.1	YP_009875555.1	4	NC_049371.1	76038	76466	1	hypothetical protein	0
YP_009874071.1	YP_009874066.1	-5	NC_049345.1	64347	64994	-1	endolysin	0
YP_009874071.1	YP_009874067.1	-4	NC_049345.1	64991	65560	-1	hypothetical protein	0
YP_009874071.1	YP_009874068.1	-3	NC_049345.1	65557	65946	-1	hypothetical protein	0
YP_009874071.1	YP_009874069.1	-2	NC_049345.1	65946	66617	-1	virion structural protein	0
YP_009874071.1	YP_009874070.1	-1	NC_049345.1	66628	68241	-1	N4 gp68-like protein	0
YP_009874071.1	YP_009874071.1	0	NC_049345.1	68234	68923	-1	N4 gp69-like protein	1
YP_009874071.1	YP_009874072.1	1	NC_049345.1	68998	69285	1	virion structural protein	0
YP_009874071.1	YP_009874073.1	2	NC_049345.1	69295	69921	1	virion structural protein	0
YP_009874071.1	YP_009874074.1	3	NC_049345.1	69925	70896	1	structural protein	0
YP_009874071.1	YP_009874075.1	4	NC_049345.1	71363	71644	1	hypothetical protein	0
YP_009874071.1	YP_009874076.1	5	NC_049345.1	71637	71972	1	nucleoside 2-deoxyribosyltransferase	0
YP_009882250.1	YP_009882245.1	-5	NC_049445.1	116918	117688	-1	head closure Hc2	0
YP_009882250.1	YP_009882246.1	-4	NC_049445.1	117692	118609	-1	head-tail adaptor Ad2	0
YP_009882250.1	YP_009882247.1	-3	NC_049445.1	118642	120519	-1	fibritin neck whisker	0
YP_009882250.1	YP_009882248.1	-2	NC_049445.1	120519	122045	-1	tail collar fiber protein	0
YP_009882250.1	YP_009882249.1	-1	NC_049445.1	122045	122704	-1	baseplate wedge subunit	0
YP_009882250.1	YP_009882250.1	0	NC_049445.1	122704	124521	-1	baseplate wedge subunit	1
YP_009882250.1	YP_009882251.1	1	NC_049445.1	124521	125387	-1	baseplate wedge tail fiber protein connector	0
YP_009882250.1	YP_009882252.1	2	NC_049445.1	125447	126451	-1	baseplate wedge subunit	0
YP_009882250.1	YP_009882253.1	3	NC_049445.1	126444	129536	-1	baseplate wedge subunit	0
YP_009882250.1	YP_009882254.1	4	NC_049445.1	129533	131482	-1	baseplate wedge subunit	0
YP_009882250.1	YP_009882255.1	5	NC_049445.1	131492	131767	-1	PAAR motif of membran proteins	0
YP_010681710.1	YP_010681705.1	-5	NC_071050.1	84814	85221	-1	hypothetical protein	0
YP_010681710.1	YP_010681706.1	-4	NC_071050.1	85218	85487	-1	hypothetical protein	0
YP_010681710.1	YP_010681707.1	-3	NC_071050.1	85492	86817	-1	ATP-dependent DNA ligase	0
YP_010681710.1	YP_010681708.1	-2	NC_071050.1	86854	87414	-1	ATP-dependent protease	0
YP_010681710.1	YP_010681709.1	-1	NC_071050.1	87435	87644	-1	hypothetical protein	0
YP_010681710.1	YP_010681710.1	0	NC_071050.1	87655	88680	-1	ATPase	1
YP_010681710.1	YP_010681711.1	1	NC_071050.1	88673	89395	-1	homing endonuclease	0
YP_010681710.1	YP_010681712.1	2	NC_071050.1	89401	90567	-1	RNA ligase	0
YP_010681710.1	YP_010681713.1	3	NC_071050.1	90805	91653	-1	protease	0
YP_010681710.1	YP_010681714.1	4	NC_071050.1	91880	92485	-1	nucleotidyltransferase	0
YP_010681710.1	YP_010681715.1	5	NC_071050.1	92508	92684	-1	hypothetical protein	0
YP_009887186.1	YP_009887181.1	-5	NC_049494.1	110419	111189	-1	head closure Hc2	0
YP_009887186.1	YP_009887182.1	-4	NC_049494.1	111193	112110	-1	head-tail adaptor Ad2	0
YP_009887186.1	YP_009887183.1	-3	NC_049494.1	112142	114019	-1	fibritin neck whisker	0
YP_009887186.1	YP_009887184.1	-2	NC_049494.1	114019	115557	-1	tail collar fiber protein	0
YP_009887186.1	YP_009887185.1	-1	NC_049494.1	115557	116216	-1	baseplate wedge subunit	0
YP_009887186.1	YP_009887186.1	0	NC_049494.1	116216	118033	-1	baseplate wedge subunit	1
YP_009887186.1	YP_009887187.1	1	NC_049494.1	118033	118899	-1	baseplate wedge tail fiber protein connector	0
YP_009887186.1	YP_009887188.1	2	NC_049494.1	118959	119963	-1	baseplate wedge subunit	0
YP_009887186.1	YP_009887189.1	3	NC_049494.1	119956	123048	-1	baseplate wedge subunit	0
YP_009887186.1	YP_009887190.1	4	NC_049494.1	123045	124994	-1	baseplate wedge subunit	0
YP_009887186.1	YP_009887191.1	5	NC_049494.1	125004	125279	-1	PAAR motif of membran proteins	0
YP_008433402.1	YP_008433397.2	-5	NC_022096.1	36131	36556	-1	hypothetical protein	0
YP_008433402.1	YP_008433398.1	-4	NC_022096.1	36575	36835	-1	hypothetical protein	0
YP_008433402.1	YP_008433399.1	-3	NC_022096.1	36820	39294	-1	putative baseplate hub subunit	0
YP_008433402.1	YP_008433400.1	-2	NC_022096.1	39296	39631	-1	tail sheath	0
YP_008433402.1	YP_008433401.2	-1	NC_022096.1	39631	40377	-1	PmgG-like head morphogenesis	0
YP_008433402.1	YP_008433402.1	0	NC_022096.1	40377	43907	-1	putative VgrG-like protein	1
YP_008433402.1	YP_008433403.1	1	NC_022096.1	43919	44866	-1	hypothetical protein	0
YP_008433402.1	YP_008433404.1	2	NC_022096.1	44863	45648	-1	hypothetical protein	0
YP_008433402.1	YP_008433405.1	3	NC_022096.1	45661	46164	-1	tail tube	0
YP_008433402.1	YP_008433406.2	4	NC_022096.1	46225	46731	-1	putative tail tube protein	0
YP_008433402.1	YP_008433407.1	5	NC_022096.1	46753	48339	-1	tail sheath	0
YP_009337908.1	YP_009337907.1	-1	NC_033329.1	133	753	1	hypothetical protein 1	0
YP_009337908.1	YP_009337908.1	0	NC_033329.1	859	1476	1	hypothetical protein 2	1
YP_010681552.1	YP_010681547.1	-5	NC_071049.1	115357	115755	-1	hypothetical protein	0
YP_010681552.1	YP_010681548.1	-4	NC_071049.1	115781	117085	-1	DNA ligase	0
YP_010681552.1	YP_010681549.1	-3	NC_071049.1	117085	117675	-1	ATP-dependent protease	0
YP_010681552.1	YP_010681550.1	-2	NC_071049.1	117703	117987	-1	PQ loop repeat protein	0
YP_010681552.1	YP_010681551.1	-1	NC_071049.1	117987	118310	-1	hypothetical protein	0
YP_010681552.1	YP_010681552.1	0	NC_071049.1	118333	119349	-1	polynucleotide kinase	1
YP_010681552.1	YP_010681553.1	1	NC_071049.1	119354	120610	-1	RNA ligase	0
YP_010681552.1	YP_010681554.1	2	NC_071049.1	120858	121202	-1	hypothetical protein	0
YP_010681552.1	YP_010681555.1	3	NC_071049.1	121249	121395	-1	hypothetical protein	0
YP_010681552.1	YP_010681556.1	4	NC_071049.1	121449	122300	-1	subtilisin DY	0
YP_010681552.1	YP_010681557.1	5	NC_071049.1	122488	123090	-1	chaperone protein	0
YP_009507868.1	YP_009507868.1	0	NC_038726.1	27	740	1	nucleocapsid protein	1
YP_010740217.1	YP_010740212.1	-5	NC_073050.1	142117	143043	-1	hypothetical protein	0
YP_010740217.1	YP_010740213.1	-4	NC_073050.1	143064	143471	-1	hypothetical protein	0
YP_010740217.1	YP_010740214.1	-3	NC_073050.1	143742	145067	-1	DNA ligase	0
YP_010740217.1	YP_010740215.1	-2	NC_073050.1	145104	145664	-1	hypothetical protein	0
YP_010740217.1	YP_010740216.1	-1	NC_073050.1	145685	145891	-1	hypothetical protein	0
YP_010740217.1	YP_010740217.1	0	NC_073050.1	145902	146927	-1	hypothetical protein	1
YP_010740217.1	YP_010740218.1	1	NC_073050.1	146920	147642	-1	homing endonuclease	0
YP_010740217.1	YP_010740219.1	2	NC_073050.1	147648	148808	-1	RNA ligase	0
YP_010740217.1	YP_010740220.1	3	NC_073050.1	149047	149907	-1	intracellular serine protease	0
YP_010740217.1	YP_010740221.1	4	NC_073050.1	150122	150727	-1	hypothetical protein	0
YP_010740217.1	YP_010740222.1	5	NC_073050.1	150750	150926	-1	hypothetical protein	0
