protein_accession	length	esmfold_status	pdb_path
YP_010681399.1	151	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010681399.1.pdb
YP_010112091.1	341	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010112091.1.pdb
YP_010510042.1	341	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010510042.1.pdb
YP_009886185.1	594	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009886185.1.pdb
YP_009886928.1	594	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009886928.1.pdb
YP_009885340.1	594	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009885340.1.pdb
YP_009199284.1	1190	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009199284.1.pdb
YP_009213143.1	1190	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009213143.1.pdb
YP_009791818.1	1191	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009791818.1.pdb
YP_009337337.1	205	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337337.1.pdb
YP_009337413.1	205	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337413.1.pdb
YP_009337907.1	206	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337907.1.pdb
YP_008433449.1	338	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_008433449.1.pdb
NP_620726.1	337	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/NP_620726.1.pdb
YP_010112204.1	340	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010112204.1.pdb
YP_008709778.1	237	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_008709778.1.pdb
YP_009507880.1	237	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009507880.1.pdb
YP_009666935.1	239	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009666935.1.pdb
YP_010112411.1	341	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010112411.1.pdb
YP_010510126.1	341	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010510126.1.pdb
YP_010509859.1	340	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010509859.1.pdb
YP_009324429.1	45	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009324429.1.pdb
YP_010112151.1	126	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010112151.1.pdb
YP_009887100.1	735	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009887100.1.pdb
YP_010084623.1	443	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010084623.1.pdb
YP_010747142.1	54	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010747142.1.pdb
YP_008767237.1	92	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_008767237.1.pdb
YP_010679842.1	717	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010679842.1.pdb
YP_010061927.1	680	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010061927.1.pdb
YP_009206170.1	103	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009206170.1.pdb
YP_009787584.1	65	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009787584.1.pdb
YP_007673883.1	363	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_007673883.1.pdb
YP_009703167.1	273	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009703167.1.pdb
YP_010745762.1	44	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010745762.1.pdb
YP_009333477.1	995	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009333477.1.pdb
YP_009886504.1	308	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009886504.1.pdb
YP_009843083.1	518	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009843083.1.pdb
YP_009622897.1	112	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009622897.1.pdb
YP_010681335.1	247	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010681335.1.pdb
NP_859416.1	88	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/NP_859416.1.pdb
YP_010749085.1	171	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010749085.1.pdb
YP_001661461.1	328	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_001661461.1.pdb
YP_009333216.1	2241	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009333216.1.pdb
YP_004322509.1	74	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_004322509.1.pdb
YP_009787875.1	87	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009787875.1.pdb
YP_009666194.1	75	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009666194.1.pdb
YP_010801696.1	170	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010801696.1.pdb
YP_009784821.1	84	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009784821.1.pdb
YP_008857970.1	66	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_008857970.1.pdb
YP_009703570.1	233	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009703570.1.pdb
YP_010801689.1	356	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010801689.1.pdb
YP_009854914.1	168	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009854914.1.pdb
YP_010748152.1	74	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010748152.1.pdb
YP_010112137.1	155	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010112137.1.pdb
YP_009618720.1	268	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009618720.1.pdb
YP_009850410.1	186	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009850410.1.pdb
YP_009202428.1	131	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009202428.1.pdb
YP_010747618.1	389	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010747618.1.pdb
YP_009850333.1	45	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009850333.1.pdb
YP_010064221.1	56	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010064221.1.pdb
YP_009223959.1	83	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009223959.1.pdb
YP_009850222.1	92	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009850222.1.pdb
YP_010060019.1	30	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010060019.1.pdb
YP_009337897.1	244	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337897.1.pdb
YP_009146260.1	50	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009146260.1.pdb
YP_009793212.1	300	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009793212.1.pdb
YP_009187390.1	46	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009187390.1.pdb
YP_010112329.1	392	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010112329.1.pdb
YP_009815862.1	146	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009815862.1.pdb
YP_009874055.1	686	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009874055.1.pdb
YP_009908108.1	421	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009908108.1.pdb
YP_010748368.1	123	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010748368.1.pdb
YP_009850470.1	290	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009850470.1.pdb
YP_009508798.1	737	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009508798.1.pdb
YP_009703657.1	78	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009703657.1.pdb
YP_009322820.1	59	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009322820.1.pdb
NP_859310.1	129	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/NP_859310.1.pdb
YP_009702846.1	359	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009702846.1.pdb
YP_004322574.1	130	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_004322574.1.pdb
YP_009880447.1	272	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009880447.1.pdb
YP_004539038.1	112	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_004539038.1.pdb
YP_009881463.1	360	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009881463.1.pdb
YP_009902646.1	77	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009902646.1.pdb
YP_010582222.1	116	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010582222.1.pdb
YP_009808761.1	101	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009808761.1.pdb
YP_010659639.1	68	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010659639.1.pdb
YP_010801690.1	397	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010801690.1.pdb
YP_009305399.1	69	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009305399.1.pdb
NP_740450.1	99	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/NP_740450.1.pdb
YP_009837015.1	92	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009837015.1.pdb
YP_009886486.1	174	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009886486.1.pdb
YP_011807633.1	190	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_011807633.1.pdb
YP_009618741.1	146	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009618741.1.pdb
YP_009177268.1	744	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009177268.1.pdb
YP_009177352.1	30	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009177352.1.pdb
YP_010806092.1	68	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010806092.1.pdb
YP_009666898.1	1419	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009666898.1.pdb
YP_009336727.1	704	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009336727.1.pdb
YP_009344981.1	515	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009344981.1.pdb
YP_009362985.1	1421	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009362985.1.pdb
YP_009841898.1	420	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009841898.1.pdb
YP_009552502.1	429	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009552502.1.pdb
YP_010839940.1	1444	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010839940.1.pdb
YP_009362028.1	838	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009362028.1.pdb
YP_010749531.1	661	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010749531.1.pdb
YP_009507872.1	1592	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009507872.1.pdb
YP_010840736.1	1430	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010840736.1.pdb
YP_009362075.1	1416	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009362075.1.pdb
YP_010085081.1	1441	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010085081.1.pdb
YP_009666965.1	1440	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009666965.1.pdb
YP_010840590.1	651	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010840590.1.pdb
YP_009666977.1	1442	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009666977.1.pdb
YP_009667039.1	1435	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009667039.1.pdb
YP_009666998.1	1432	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009666998.1.pdb
YP_010085914.1	383	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010085914.1.pdb
NP_982303.1	1420	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/NP_982303.1.pdb
YP_009333209.1	720	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009333209.1.pdb
YP_010085970.1	772	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010085970.1.pdb
YP_010839621.1	1429	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010839621.1.pdb
YP_010840790.1	1468	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010840790.1.pdb
YP_009667043.1	1437	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009667043.1.pdb
YP_004207858.1	726	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_004207858.1.pdb
YP_009300682.1	1539	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009300682.1.pdb
YP_009551866.1	111	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009551866.1.pdb
YP_009505412.1	378	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009505412.1.pdb
YP_010839906.1	1431	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010839906.1.pdb
YP_010840701.1	1430	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010840701.1.pdb
YP_010839533.1	1433	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010839533.1.pdb
YP_010839648.1	1433	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010839648.1.pdb
YP_009666890.1	1418	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009666890.1.pdb
YP_009345123.1	1280	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009345123.1.pdb
YP_009507860.1	1408	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009507860.1.pdb
YP_009333205.1	438	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009333205.1.pdb
YP_008400137.1	1456	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_008400137.1.pdb
YP_009666885.1	1444	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009666885.1.pdb
YP_009042017.1	377	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009042017.1.pdb
YP_009337661.1	396	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009337661.1.pdb
YP_004598983.1	900	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_004598983.1.pdb
YP_009388620.1	638	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009388620.1.pdb
YP_009666931.1	1461	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009666931.1.pdb
YP_004207848.1	839	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_004207848.1.pdb
YP_009345003.1	406	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009345003.1.pdb
YP_006590081.1	1403	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_006590081.1.pdb
YP_010114580.1	595	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010114580.1.pdb
YP_010840641.1	1442	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_010840641.1.pdb
YP_009667046.1	1425	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009667046.1.pdb
YP_009229856.1	744	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009229856.1.pdb
YP_009362065.1	1432	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009362065.1.pdb
YP_009167707.1	460	completed	runs/v2_full_test_evidence_regime/structure_panel/esmfold_pdb/YP_009167707.1.pdb
