protein_accession	target_type	matched_candidate_id	predicted_label	delta_p	p_context	nearest_homolog_identity	sequence_evidence_status	structure_evidence_status	module_cluster_id	module_neighborhood_consistency	sequence_any_mmseqs_hit	mmseqs_remote_hit	mmseqs_label_agreement	phrog_phold_any_hit	phrog_phold_label_agreement	domain_hmm_any_hit	domain_hmm_label_agreement	foldseek_confident_structural_hit	foldseek_functionally_informative	module_consistent	manual_literature_supported	direct_label_support	any_posthoc_support	sequence_structure_resolved	weak_or_ambiguous_sequence_structure	context_complement_regime	phrog_phold_evidence_text	domain_hmm_evidence_text	manual_evidence_text
YP_009337392.1	high_context_candidate		capsid_head	0.7267377376556396	0.9927617907524109		sequence_hit_identity_missing_without_target_function_label	no_foldseek_hit_available			0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			
YP_438172.1	high_context_candidate		portal_terminase_packaging	0.4531177878379822	0.9893968105316162		sequence_hit_identity_missing_without_target_function_label	structure_hit_on_low_confidence_model	0	0.9032359905288082	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1			
YP_010658686.1	high_context_candidate		portal_terminase_packaging	0.4132643938064575	0.9921548962593079	49.3	remote_sequence_hit_without_target_function_label	ambiguous_or_weak_structure_signal	0	0.9032359905288082	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1			
YP_009337301.1	matched_control	YP_009342305.1	capsid_head	0.0004032254219055176	0.996837854385376		sequence_hit_identity_missing_without_target_function_label	structure_consistent_but_ambiguous	0	0.9032359905288082	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0			
YP_009336968.1	matched_control	YP_009337392.1	capsid_head	-0.000713348388671875	0.9946272969245911	28.4	weak_sequence_hit	structure_consistent_but_ambiguous	0	0.9032359905288082	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	0			
YP_009337337.1	matched_control	YP_009337908.1	capsid_head	-0.00046819448471069336	0.9941137433052063		sequence_hit_identity_missing_without_target_function_label	structure_consistent_but_ambiguous	0	0.9032359905288082	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0			
YP_009043771.1	high_context_candidate		portal_terminase_packaging	0.39186638593673706	0.9947941899299622	47.9	remote_sequence_hit_without_target_function_label	ambiguous_or_weak_structure_signal	0	0.9032359905288082	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1			
YP_010084498.1	high_context_candidate		portal_terminase_packaging	0.4183990955352783	0.9922285676002502	27.2	weak_sequence_hit	low_model_confidence	0	0.9032359905288082	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0			
NP_570774.1	matched_control	YP_438172.1	portal_terminase_packaging	0.045220017433166504	0.9940034747123718	32.2	remote_sequence_hit	structure_consistent_but_ambiguous	0	0.9032359905288082	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	0			
YP_010740217.1	high_context_candidate		polymerase	0.20882511138916016	0.9932116270065308	57.1	high_identity_sequence_hit_without_target_function_label	structure_consistent_but_ambiguous	0	0.9032359905288082	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	0			
YP_009337908.1	high_context_candidate		capsid_head	0.23637926578521729	0.9924916625022888		sequence_hit_identity_missing_without_target_function_label	low_model_confidence	0	0.9032359905288082	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1			
YP_010681710.1	high_context_candidate		polymerase	0.32134801149368286	0.9902760982513428	57.4	high_identity_sequence_hit_without_target_function_label	structure_consistent_but_ambiguous	0	0.9032359905288082	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	0			
YP_007675790.1	high_context_candidate		portal_terminase_packaging	0.48290401697158813	0.9933885335922241	49.7	remote_sequence_hit_without_target_function_label	ambiguous_or_weak_structure_signal			1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0			
YP_009874071.1	high_context_candidate		portal_terminase_packaging	0.3450345993041992	0.9907552599906921	49.3	remote_sequence_hit_without_target_function_label	ambiguous_or_weak_structure_signal	0	0.9032359905288082	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1			
YP_009882250.1	high_context_candidate		tail_assembly	0.34205812215805054	0.9918911457061768	54.3	high_identity_sequence_hit	local_structure_consistent	0	0.9032359905288082	1	1	1	0	0	0	0	0	1	1	0	1	1	1	0	0			
YP_950542.1	high_context_candidate		tail_assembly	0.5010207891464233	0.9892926216125488	70.9	high_identity_sequence_hit	structure_consistent_but_ambiguous			1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0			
YP_009875551.1	high_context_candidate		portal_terminase_packaging	0.3534814119338989	0.9911086559295654	50.2	high_identity_sequence_hit_without_target_function_label	ambiguous_or_weak_structure_signal	0	0.9032359905288082	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1			
YP_010681399.1	matched_control	YP_010681710.1	polymerase	0.01633322238922119	0.9970784187316895		sequence_hit_identity_missing_without_target_function_label	structure_consistent_but_ambiguous			0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0			
YP_009336785.1	matched_control	YP_009337270.1	capsid_head	0.0004699230194091797	0.9933615922927856	34.7	remote_sequence_hit	local_structure_consistent	0	0.9032359905288082	1	1	1	0	0	0	0	0	1	1	0	1	1	1	0	0			
YP_010681552.1	high_context_candidate		polymerase	0.22814971208572388	0.9967441558837891	59.7	high_identity_sequence_hit_without_target_function_label	structure_consistent_but_ambiguous	0	0.9032359905288082	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	0			
YP_009887186.1	high_context_candidate		tail_assembly	0.273392915725708	0.9920297861099243	54.0	high_identity_sequence_hit	local_structure_consistent	0	0.9032359905288082	1	1	1	0	0	0	0	0	1	1	0	1	1	1	0	0			
YP_009507868.1	high_context_candidate		nucleocapsid	0.22316253185272217	0.9894487857818604		sequence_hit_identity_missing_without_target_function_label	low_model_confidence	9	0.8552631578947368	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1			
YP_008433375.1	matched_control	YP_008433402.1	lysis	0.0005639195442199707	0.9983056783676147	42.5	remote_sequence_hit	structure_consistent_but_ambiguous	0	0.9032359905288082	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	0			
YP_004010297.1	matched_control	YP_009881537.1	tail_assembly	0.00046372413635253906	0.998776376247406	49.2	remote_sequence_hit	structure_consistent_but_ambiguous	0	0.9032359905288082	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	0			
YP_009882257.1	matched_control	YP_009887186.1	tail_assembly	0.00013011693954467773	0.9984889030456543	49.9	remote_sequence_hit	structure_consistent_but_ambiguous	0	0.9032359905288082	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	0			
YP_007675791.1	matched_control	YP_010658686.1	portal_terminase_packaging	0.00028008222579956055	0.9977893829345703	63.3	high_identity_sequence_hit	structure_consistent_but_ambiguous	0	0.9032359905288082	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	0			
YP_009880558.1	matched_control	YP_007675790.1	portal_terminase_packaging	-2.3305416107177734e-05	0.9965258240699768	59.2	high_identity_sequence_hit	structure_consistent_but_ambiguous	0	0.9032359905288082	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	0			
YP_010679883.1	matched_control	YP_010680760.1	polymerase	0.006373465061187744	0.9935804605484009	51.1	high_identity_sequence_hit_without_target_function_label	local_structure_consistent	0	0.9032359905288082	1	1	0	0	0	0	0	0	1	1	0	0	1	0	1	1			
YP_009342304.1	matched_control	YP_009337740.1	capsid_head	0.00045859813690185547	0.9968256950378418	30.4	remote_sequence_hit	structure_consistent_but_ambiguous			1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0			
YP_010681528.1	matched_control	YP_010681552.1	polymerase	0.001135110855102539	0.9968955516815186	68.6	high_identity_sequence_hit	structure_consistent_but_ambiguous	0	0.9032359905288082	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	0			
YP_010740196.1	matched_control	YP_010740217.1	polymerase	0.0010647177696228027	0.9955645799636841	74.2	high_identity_sequence_hit	structure_consistent_but_ambiguous	0	0.9032359905288082	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	0			
YP_010680019.1	matched_control	YP_010681280.1	polymerase	0.0007694363594055176	0.9978421926498413	63.1	high_identity_sequence_hit	structure_consistent_but_ambiguous	0	0.9032359905288082	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	0			
YP_009874070.1	matched_control	YP_009874071.1	portal_terminase_packaging	2.2709369659423828e-05	0.9967932105064392	57.8	high_identity_sequence_hit	structure_consistent_but_ambiguous	0	0.9032359905288082	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	0			
YP_009362986.1	matched_control	YP_009666899.1	nucleocapsid	0.03334391117095947	0.9958018660545349		sequence_hit_identity_missing_without_target_function_label	low_model_confidence	9	0.8552631578947368	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1			
YP_009875550.1	matched_control	YP_009043771.1	portal_terminase_packaging	-2.300739288330078e-05	0.9968935251235962	60.2	high_identity_sequence_hit_without_target_function_label	structure_consistent_but_ambiguous	0	0.9032359905288082	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0			
YP_010658685.1	matched_control	YP_009875551.1	portal_terminase_packaging	-3.7729740142822266e-05	0.9963029623031616	58.1	high_identity_sequence_hit	structure_consistent_but_ambiguous	0	0.9032359905288082	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	0			
YP_009666887.1	matched_control	YP_009512927.1	nucleocapsid	0.02997046709060669	0.9908993244171143		sequence_hit_identity_missing_without_target_function_label	low_model_confidence	9	0.8552631578947368	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1			
YP_010084588.1	matched_control	YP_010084498.1	portal_terminase_packaging	0.028593122959136963	0.9971994161605835	27.7	weak_sequence_hit	low_model_confidence	0	0.9032359905288082	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0			
YP_008433402.1	high_context_candidate		lysis	0.24999815225601196	0.9951329827308655	56.5	high_identity_sequence_hit_without_target_function_label	structure_hit_on_low_confidence_model	0	0.9032359905288082	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1			
YP_009666927.1	matched_control	YP_009666897.1	nucleocapsid	0.012674510478973389	0.9968660473823547		sequence_hit_identity_missing_without_target_function_label	low_model_confidence	9	0.8552631578947368	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1			
YP_010839920.1	matched_control	YP_010840622.1	nucleocapsid	0.004217743873596191	0.9974846839904785		sequence_hit_identity_missing_without_target_function_label	low_model_confidence	9	0.8552631578947368	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1			
YP_010840271.1	matched_control	YP_009507868.1	nucleocapsid	0.0014590620994567871	0.9919821619987488		sequence_hit_identity_missing_without_target_function_label	low_model_confidence	9	0.8552631578947368	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1			
YP_004009814.1	matched_control	YP_009882250.1	tail_assembly	0.0027663707733154297	0.9970089793205261	38.4	remote_sequence_hit	weak_or_inconclusive	0	0.9032359905288082	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0			
YP_010657796.1	matched_control	YP_950542.1	tail_assembly	0.004304349422454834	0.990709662437439	54.1	high_identity_sequence_hit	weak_or_inconclusive	0	0.9032359905288082	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0			
