protein_accession	predicted_label	top_probability_calibrated	context_gain	high_context_gain	nearest_homolog_identity	nearest_homolog_bits	identity_bin	context_gain_bin	low_sequence_identity	low_sequence_high_context	module_supported	hypothetical_or_unknown	family	host_group	family_holdout_split
YP_010064311.1	integrase_recombinase	0.999669909477	4.42266464233e-05	0	76.2	574.0	70-90	0-0.05	0	0	1	0	Pukovnikvirus	Bacteria	test
YP_004009515.1	ligase	0.999667286873	4.6968460083e-05	0	46.6	149.0	30-50	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_010680314.1	ligase	0.99965763092	1.19209289551e-06	0	63.2	561.0	50-70	0-0.05	0	0	1	0	Joanripponvirinae	Bacteria	test
YP_006489077.1	ligase	0.999650716782	5.60283660889e-05	0	54.1	496.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009885386.1	ligase	0.999649524689	1.37090682983e-05	0	52.3	477.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_010681283.1	ligase	0.999647021294	9.41753387451e-06	0	68.2	617.0	50-70	0-0.05	0	0	1	0	Joanripponvirinae	Bacteria	test
YP_009886974.1	ligase	0.99964594841	1.19209289551e-05	0	52.5	479.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_010681046.1	ligase	0.999644875526	1.04904174805e-05	0	67.9	616.0	50-70	0-0.05	0	0	1	0	Joanripponvirinae	Bacteria	test
YP_004009565.1	ligase	0.99964427948	1.53779983521e-05	0	66.8	652.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009886726.1	ligase	0.999644160271	1.37090682983e-05	0	52.5	479.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009886476.1	ligase	0.999644041061	1.37090682983e-05	0	52.5	479.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009889833.1	ligase	0.999644041061	1.28746032715e-05	0	52.3	479.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009886230.1	ligase	0.999643802643	1.37090682983e-05	0	52.5	479.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009304691.1	integrase_recombinase	0.999640583992	3.38554382324e-05	0	79.6	524.0	70-90	0-0.05	0	0	1	0	Pukovnikvirus	Bacteria	test
YP_010001106.1	integrase_recombinase	0.999640464783	0.000113010406494	0	97.9	772.0	90-100	0-0.05	0	0	1	0	Ruthyvirus	Bacteria	test
YP_009886673.1	ligase	0.999640464783	3.43322753906e-05	0	48.9	147.0	30-50	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009850826.1	ligase	0.999637126923	5.96046447754e-06	0	35.7	209.0	30-50	0-0.05	0	0	1	0	Menderavirus	Bacteria	test
YP_010059993.1	integrase_recombinase	0.999624609947	2.38418579102e-05	0	88.2	668.0	70-90	0-0.05	0	0	1	0	Microwolfvirus	Bacteria	test
YP_009881552.1	ligase	0.999610722065	6.02006912231e-05	0	48.9	148.0	30-50	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009880920.1	ligase	0.999610602856	6.02006912231e-05	0	48.9	148.0	30-50	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_010679999.1	tail_assembly	0.999608933926	0.00623291730881	0	32.8	162.0	30-50	0-0.05	0	0	1	0	Joanripponvirinae	Bacteria	test
YP_010679999.1	ligase	0.999608933926	7.97510147095e-05	0	32.8	162.0	30-50	0-0.05	0	0	1	0	Joanripponvirinae	Bacteria	test
YP_010680757.1	ligase	0.999607145786	3.33786010742e-06	0	67.9	616.0	50-70	0-0.05	0	0	1	0	Joanripponvirinae	Bacteria	test
YP_010060076.1	integrase_recombinase	0.999605834484	2.75373458862e-05	0	89.4	665.0	70-90	0-0.05	0	0	1	0	Microwolfvirus	Bacteria	test
YP_010061460.1	integrase_recombinase	0.999605000019	2.11000442505e-05	0	86.8	663.0	70-90	0-0.05	0	0	1	0	Yeceytrevirus	Bacteria	test
YP_008126273.1	integrase_recombinase	0.999604284763	3.37362289429e-05	0	89.7	664.0	70-90	0-0.05	0	0	1	0	Microwolfvirus	Bacteria	test
YP_009845847.1	ligase	0.999599516392	-5.60283660889e-06	0	32.1	217.0	30-50	<0	0	0	1	0	Ackermannviridae	Bacteria	test
YP_010077946.1	ligase	0.999598443508	-1.19209289551e-06	0	35.6	209.0	30-50	<0	0	0	1	0	Menderavirus	Bacteria	test
YP_009277152.1	ligase	0.99959808588	-7.5101852417e-06	0	36.7	228.0	30-50	<0	0	0	1	1	Ackermannviridae	Bacteria	test
YP_010103621.1	ligase	0.999597489834	0.000222504138947	0	37.4	82.0	30-50	0-0.05	0	0	1	0	Frickvirinae	Bacteria	test
YP_010653976.1	integrase_recombinase	0.999597251415	0.000116527080536	0	97.1	766.0	90-100	0-0.05	0	0	1	0	Powerballvirus	Bacteria	test
YP_006906874.1	portal_terminase_packaging	0.999597132206	0.000202476978302	0	56	649.0	50-70	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_009908311.1	portal_terminase_packaging	0.999596774578	0.000200688838959	0	56	647.0	50-70	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_004010290.1	ligase	0.99959653616	3.55243682861e-05	0	53	163.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009187373.1	portal_terminase_packaging	0.999596178532	0.000202357769012	0	56	649.0	50-70	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_009226879.1	portal_terminase_packaging	0.999595820904	0.000202238559723	0	56	649.0	50-70	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_010107653.1	ligase	0.999594628811	0.000221908092499	0	37.4	82.0	30-50	0-0.05	0	0	1	0	Frickvirinae	Bacteria	test
YP_007001467.1	portal_terminase_packaging	0.999594509602	0.00020033121109	0	56	647.0	50-70	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_010101979.1	ligase	0.999593913555	0.000221788883209	0	37.4	82.0	30-50	0-0.05	0	0	1	0	Frickvirinae	Bacteria	test
YP_010102271.1	ligase	0.999593317509	0.000163972377777	0	38.2	85.0	30-50	0-0.05	0	0	1	0	Frickvirinae	Bacteria	test
YP_009907922.1	portal_terminase_packaging	0.99959141016	0.000201404094696	0	56	649.0	50-70	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
NP_049511.1	portal_terminase_packaging	0.999590098858	0.000201165676117	0	56	649.0	50-70	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_009908161.1	portal_terminase_packaging	0.999589383602	0.000209629535675	0	55.8	643.0	50-70	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_009180943.1	portal_terminase_packaging	0.999589145184	0.000200927257538	0	56	649.0	50-70	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_794060.1	portal_terminase_packaging	0.999589025974	0.000200927257538	0	56	649.0	50-70	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_009190560.1	portal_terminase_packaging	0.999588429928	0.000210344791412	0	56.1	649.0	50-70	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_009908001.1	portal_terminase_packaging	0.999587237835	0.000209152698517	0	55.8	643.0	50-70	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
NP_050549.1	portal_terminase_packaging	0.999587118626	0.000200569629669	0	56	649.0	50-70	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_009219097.1	integrase_recombinase	0.999585092068	2.50339508057e-05	0	89.7	666.0	70-90	0-0.05	0	0	1	0	Microwolfvirus	Bacteria	test
YP_009880971.1	ligase	0.999584496021	2.50339508057e-06	0	52.5	479.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009886920.1	ligase	0.99958306551	5.48362731934e-05	0	48.9	148.0	30-50	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009889782.1	ligase	0.999582946301	5.48362731934e-05	0	48.9	148.0	30-50	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009886423.1	ligase	0.999582827091	5.48362731934e-05	0	48.9	148.0	30-50	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009908241.1	portal_terminase_packaging	0.99958127737	0.00019782781601	0	56	647.0	50-70	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_009908086.1	portal_terminase_packaging	0.999578893185	0.000207602977753	0	55.8	643.0	50-70	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_009908487.1	portal_terminase_packaging	0.99957793951	0.000198781490326	0	56	649.0	50-70	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_008873420.1	ligase	0.999577462673	1.25169754028e-05	0	62.8	557.0	50-70	0-0.05	0	0	1	0	Joanripponvirinae	Bacteria	test
YP_009195134.1	integrase_recombinase	0.999576985836	2.49147415161e-05	0	90	668.0	90-100	0-0.05	0	0	1	0	Microwolfvirus	Bacteria	test
YP_009198461.1	integrase_recombinase	0.999576866627	2.47955322266e-05	0	90	668.0	90-100	0-0.05	0	0	1	0	Microwolfvirus	Bacteria	test
YP_010103030.1	ligase	0.999575793743	0.000178277492523	0	38.2	84.0	30-50	0-0.05	0	0	1	0	Frickvirinae	Bacteria	test
YP_009635626.1	integrase_recombinase	0.999575793743	2.52723693848e-05	0	89.7	664.0	70-90	0-0.05	0	0	1	0	Microwolfvirus	Bacteria	test
YP_010102077.1	ligase	0.999574840069	0.000178039073944	0	38.2	84.0	30-50	0-0.05	0	0	1	0	Frickvirinae	Bacteria	test
YP_010096624.1	ligase	0.999574124813	0.000177919864655	0	38.2	84.0	30-50	0-0.05	0	0	1	0	Frickvirinae	Bacteria	test
YP_009284790.1	ligase	0.999574005604	0.000177919864655	0	38.2	84.0	30-50	0-0.05	0	0	1	0	Frickvirinae	Bacteria	test
YP_010061967.1	portal_terminase_packaging	0.99957293272	0.000115692615509	0	80.5	783.0	70-90	0-0.05	0	0	1	0	Timshelvirus	Bacteria	test
YP_009607571.1	portal_terminase_packaging	0.999572336674	0.000115215778351	0	80.5	783.0	70-90	0-0.05	0	0	1	0	Timshelvirus	Bacteria	test
YP_009601941.1	portal_terminase_packaging	0.999571740627	0.00019758939743	0	56	649.0	50-70	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_009885331.1	ligase	0.999567329884	4.68492507935e-05	0	48.2	146.0	30-50	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_010102365.1	ligase	0.999567091465	0.000176608562469	0	38.2	84.0	30-50	0-0.05	0	0	1	0	Frickvirinae	Bacteria	test
YP_010653397.1	integrase_recombinase	0.999566257	0.000108420848846	0	98.9	778.0	90-100	0-0.05	0	0	1	0	Attisvirus	Bacteria	test
YP_009836951.1	ligase	0.999561846256	7.2717666626e-05	0	82.1	278.0	70-90	0-0.05	0	0	1	0	Marfavirus	Bacteria	test
YP_010681707.1	ligase	0.999555289745	7.7486038208e-06	0	62.1	527.0	50-70	0-0.05	0	0	1	0	Heleneionescovirinae	Bacteria	test
YP_009886177.1	ligase	0.999554097652	5.54323196411e-05	0	48.2	147.0	30-50	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009203072.1	portal_terminase_packaging	0.999552547932	0.000106990337372	0	85.5	854.0	70-90	0-0.05	0	0	1	0	Luchadorvirus	Bacteria	test
YP_010060166.1	integrase_recombinase	0.999551594257	1.76429748535e-05	0	88.7	627.0	70-90	0-0.05	0	0	1	0	Microwolfvirus	Bacteria	test
YP_009032183.1	integrase_recombinase	0.99954944849	3.33786010742e-06	0	61.5	460.0	50-70	0-0.05	0	0	1	0	Yongloolinvirus	Bacteria	test
YP_004009791.1	portal_terminase_packaging	0.999548971653	0.000366389751434	0	70.5	224.0	70-90	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_010051027.1	portal_terminase_packaging	0.999548614025	0.000192821025848	0	52.7	449.0	50-70	0-0.05	0	0	1	0	Ruthgordonvirinae	Bacteria	test
YP_010680562.1	ligase	0.999546587467	6.31809234619e-06	0	62.8	557.0	50-70	0-0.05	0	0	1	0	Joanripponvirinae	Bacteria	test
YP_009796300.1	ligase	0.999542713165	-1.34706497192e-05	0	83.9	838.0	70-90	<0	0	0	1	0	Ackermannviridae	Bacteria	test
YP_009214227.1	integrase_recombinase	0.999540805817	-7.39097595215e-06	0	100	788.0	90-100	<0	0	0	1	0	Yongloolinvirus	Bacteria	test
YP_009206162.1	integrase_recombinase	0.999540090561	-7.5101852417e-06	0	100	788.0	90-100	<0	0	0	1	0	Yongloolinvirus	Bacteria	test
YP_009822431.1	ligase	0.999540090561	-1.52587890625e-05	0	83.3	833.0	70-90	<0	0	0	1	0	Ackermannviridae	Bacteria	test
YP_008051864.1	portal_terminase_packaging	0.999538660049	0.000105798244476	0	80.6	778.0	70-90	0-0.05	0	0	1	0	Timshelvirus	Bacteria	test
YP_009635711.1	integrase_recombinase	0.99953687191	2.05039978027e-05	0	89.6	641.0	70-90	0-0.05	0	0	1	0	Microwolfvirus	Bacteria	test
YP_009882193.1	tail_fiber_receptor	0.999536395073	0.000600636005402	0	55.7	411.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009882193.1	tail_assembly	0.999536395073	0.000252306461334	0	55.7	411.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009882193.1	ligase	0.999536395073	2.68220901489e-05	0	55.7	411.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_010653679.1	integrase_recombinase	0.999532222748	-3.13520431519e-05	0	98	718.0	90-100	<0	0	0	1	0	Attisvirus	Bacteria	test
YP_010653461.1	integrase_recombinase	0.999531388283	-2.9444694519e-05	0	98.3	719.0	90-100	<0	0	0	1	0	Attisvirus	Bacteria	test
YP_003857136.1	portal_terminase_packaging	0.999529957771	0.000109970569611	0	44.8	387.0	30-50	0-0.05	0	0	1	0	Lclasvirinae	Bacteria	test
YP_009796514.1	ligase	0.999525547028	-1.87158584595e-05	0	83.7	836.0	70-90	<0	0	0	1	0	Ackermannviridae	Bacteria	test
YP_001994852.1	integrase_recombinase	0.999525308609	1.84774398804e-05	0	88.7	669.0	70-90	0-0.05	0	0	1	0	Pukovnikvirus	Bacteria	test
YP_010653900.1	integrase_recombinase	0.999524116516	-3.2901763916e-05	0	98	718.0	90-100	<0	0	0	1	0	Attisvirus	Bacteria	test
YP_001110762.1	integrase_recombinase	0.999522686005	-1.33514404297e-05	0	99.7	819.0	90-100	<0	0	0	1	0	Yongloolinvirus	Bacteria	test
YP_009615943.1	ligase	0.999518036842	-2.05039978027e-05	0	86.2	844.0	70-90	<0	0	0	1	0	Ackermannviridae	Bacteria	test
YP_009883594.1	ligase	0.999512434006	-2.02655792236e-05	0	83.9	836.0	70-90	<0	0	0	1	0	Ackermannviridae	Bacteria	test
YP_009838281.1	ligase	0.999510169029	0.000125229358673	0	34.3	220.0	30-50	0-0.05	0	0	1	0	Ackermannviridae	Bacteria	test
YP_010653531.1	integrase_recombinase	0.999509930611	-3.60012054443e-05	0	98.6	720.0	90-100	<0	0	0	1	0	Attisvirus	Bacteria	test
YP_009303029.1	integrase_recombinase	0.999508857727	-3.3974647522e-05	0	100	726.0	90-100	<0	0	0	1	0	Attisvirus	Bacteria	test
YP_009595792.1	integrase_recombinase	0.999508857727	-3.3974647522e-05	0	100	726.0	90-100	<0	0	0	1	0	Attisvirus	Bacteria	test
YP_009320677.1	integrase_recombinase	0.99950838089	2.14576721191e-06	0	98.1	732.0	90-100	0-0.05	0	0	1	0	Ferrettivirinae	Bacteria	test
YP_010653607.1	integrase_recombinase	0.999507784843	-3.42130661011e-05	0	100	726.0	90-100	<0	0	0	1	0	Attisvirus	Bacteria	test
YP_010051026.1	portal_terminase_packaging	0.999503731728	0.000119030475616	0	46.6	422.0	30-50	0-0.05	0	0	1	0	Ruthgordonvirinae	Bacteria	test
YP_009798826.1	ligase	0.999503493309	-2.27689743042e-05	0	83.3	835.0	70-90	<0	0	0	1	0	Ackermannviridae	Bacteria	test
YP_010109364.1	portal_terminase_packaging	0.999503135681	0.000101506710052	0	84.7	841.0	70-90	0-0.05	0	0	1	0	Luchadorvirus	Bacteria	test
YP_010062329.1	integrase_recombinase	0.999500632286	4.76837158203e-06	0	86.5	651.0	70-90	0-0.05	0	0	1	0	Kimonavirus	Bacteria	test
YP_010101311.1	portal_terminase_packaging	0.999497294426	0.000102937221527	0	45	389.0	30-50	0-0.05	0	0	1	0	Lclasvirinae	Bacteria	test
YP_009798829.1	helicase	0.999497056007	0.000851809978485	0	77.2	382.0	70-90	0-0.05	0	0	1	0	Ackermannviridae	Bacteria	test
YP_009884658.1	ligase	0.999495744705	-2.4676322937e-05	0	83.3	833.0	70-90	<0	0	0	1	0	Ackermannviridae	Bacteria	test
YP_010100901.1	portal_terminase_packaging	0.999494075775	0.000105679035187	0	45	389.0	30-50	0-0.05	0	0	1	0	Lclasvirinae	Bacteria	test
YP_009635850.1	portal_terminase_packaging	0.99949324131	0.000105559825897	0	45	389.0	30-50	0-0.05	0	0	1	0	Lclasvirinae	Bacteria	test
YP_009273941.1	portal_terminase_packaging	0.999492883682	0.000220775604248	0	53.4	449.0	50-70	0-0.05	0	0	1	0	Ruthgordonvirinae	Bacteria	test
YP_009275363.1	portal_terminase_packaging	0.999492883682	0.000220775604248	0	53.4	449.0	50-70	0-0.05	0	0	1	0	Ruthgordonvirinae	Bacteria	test
YP_009850340.1	ligase	0.999491453171	8.72611999512e-05	0	81.4	276.0	70-90	0-0.05	0	0	1	0	Marfavirus	Bacteria	test
YP_009796518.1	helicase	0.999488711357	0.000596284866333	0	78.1	386.0	70-90	0-0.05	0	0	0	0	Ackermannviridae	Bacteria	test
YP_009226833.1	integrase_recombinase	0.999486923218	-5.00679016113e-06	0	86.5	706.0	70-90	<0	0	0	0	0	Sepvirinae	Bacteria	test
YP_010062137.1	portal_terminase_packaging	0.999486207962	6.19888305664e-05	0	70.4	695.0	70-90	0-0.05	0	0	1	0	Myradeevirus	Bacteria	test
YP_009100223.1	integrase_recombinase	0.999486207962	-5.12599945068e-06	0	86.5	706.0	70-90	<0	0	0	0	0	Sepvirinae	Bacteria	test
YP_008433550.1	ligase	0.999484777451	0.000173389911652	0	25.3	55.0	20-30	0-0.05	1	0	1	0	Baikalvirus	Bacteria	test
YP_010104322.1	portal_terminase_packaging	0.999484300613	9.19699668884e-05	0	84.7	848.0	70-90	0-0.05	0	0	1	0	Luchadorvirus	Bacteria	test
YP_004010342.1	ligase	0.999482989311	1.84774398804e-05	0	53.8	484.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_010105407.1	portal_terminase_packaging	0.999482512474	0.000108182430267	0	44.8	388.0	30-50	0-0.05	0	0	1	0	Lclasvirinae	Bacteria	test
YP_010064219.1	integrase_recombinase	0.999482393265	1.31130218506e-06	0	87.4	655.0	70-90	0-0.05	0	0	1	0	Pukovnikvirus	Bacteria	test
YP_010114705.1	portal_terminase_packaging	0.999481260777	0.000107944011688	0	44.8	388.0	30-50	0-0.05	0	0	1	0	Lclasvirinae	Bacteria	test
YP_004010361.1	tail_fiber_receptor	0.999481022358	0.000670254230499	0	53	389.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_004010361.1	tail_assembly	0.999481022358	7.23600387573e-05	0	53	389.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_004010361.1	ligase	0.999481022358	8.51154327393e-05	0	53	389.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009322002.1	integrase_recombinase	0.999480545521	2.38418579102e-06	0	99.4	738.0	90-100	0-0.05	0	0	1	0	Ferrettivirinae	Bacteria	test
YP_010001068.1	portal_terminase_packaging	0.999480307102	0.000101268291473	0	54.3	499.0	50-70	0-0.05	0	0	1	0	Ruthyvirus	Bacteria	test
YP_010051099.1	portal_terminase_packaging	0.9994789958	0.000219941139221	0	53.4	447.0	50-70	0-0.05	0	0	1	0	Ruthgordonvirinae	Bacteria	test
YP_009884661.1	helicase	0.999477803707	0.000591397285461	0	77.7	385.0	70-90	0-0.05	0	0	0	0	Ackermannviridae	Bacteria	test
NP_049461.1	integrase_recombinase	0.999476373196	9.13739204407e-05	0	68.3	618.0	50-70	0-0.05	0	0	0	0	Sepvirinae	Bacteria	test
YP_008126252.1	portal_terminase_packaging	0.999476253986	9.07778739929e-05	0	71.6	700.0	70-90	0-0.05	0	0	1	0	Microwolfvirus	Bacteria	test
NP_050500.1	integrase_recombinase	0.99947565794	9.12547111511e-05	0	68.3	618.0	50-70	0-0.05	0	0	0	0	Sepvirinae	Bacteria	test
YP_009635689.1	portal_terminase_packaging	0.999475538731	9.05394554138e-05	0	71.6	700.0	70-90	0-0.05	0	0	1	0	Microwolfvirus	Bacteria	test
YP_009195112.1	portal_terminase_packaging	0.999475300312	9.05394554138e-05	0	71.6	700.0	70-90	0-0.05	0	0	1	0	Microwolfvirus	Bacteria	test
YP_009635604.1	portal_terminase_packaging	0.999475300312	9.05394554138e-05	0	71.6	700.0	70-90	0-0.05	0	0	1	0	Microwolfvirus	Bacteria	test
YP_010060055.1	portal_terminase_packaging	0.999475181103	9.05394554138e-05	0	71.6	700.0	70-90	0-0.05	0	0	1	0	Microwolfvirus	Bacteria	test
YP_009198439.1	portal_terminase_packaging	0.999475061893	9.05394554138e-05	0	71.6	700.0	70-90	0-0.05	0	0	1	0	Microwolfvirus	Bacteria	test
YP_009617260.1	portal_terminase_packaging	0.999474942684	9.04202461243e-05	0	71.6	700.0	70-90	0-0.05	0	0	1	0	Microwolfvirus	Bacteria	test
NP_817602.1	portal_terminase_packaging	0.999474346638	9.04202461243e-05	0	71.6	700.0	70-90	0-0.05	0	0	1	0	Microwolfvirus	Bacteria	test
YP_009219075.1	portal_terminase_packaging	0.99947398901	9.03010368347e-05	0	71.6	700.0	70-90	0-0.05	0	0	1	0	Microwolfvirus	Bacteria	test
YP_010059972.1	portal_terminase_packaging	0.999471843243	8.51154327393e-05	0	71.1	695.0	70-90	0-0.05	0	0	1	0	Microwolfvirus	Bacteria	test
YP_010062308.1	portal_terminase_packaging	0.999470055103	0.000123918056488	0	80.9	778.0	70-90	0-0.05	0	0	1	0	Kimonavirus	Bacteria	test
YP_010012592.1	portal_terminase_packaging	0.999466240406	9.84072685242e-05	0	43.6	388.0	30-50	0-0.05	0	0	1	0	Lclasvirinae	Bacteria	test
YP_010653753.1	integrase_recombinase	0.999465286732	-4.79221343994e-05	0	97.4	791.0	90-100	<0	0	0	1	0	Attisvirus	Bacteria	test
YP_009100270.1	portal_terminase_packaging	0.999464809895	0.000189006328583	0	56.3	648.0	50-70	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_009850361.1	portal_terminase_packaging	0.999463617802	0.000922501087189	0	90	285.0	90-100	0-0.05	0	0	1	0	Marfavirus	Bacteria	test
YP_010061892.1	portal_terminase_packaging	0.999462902546	9.25660133362e-05	0	81	781.0	70-90	0-0.05	0	0	1	0	Timshelvirus	Bacteria	test
YP_009908404.1	portal_terminase_packaging	0.999462664127	0.000173151493073	0	56.3	648.0	50-70	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_010653823.1	integrase_recombinase	0.999462068081	-5.00679016113e-05	0	97.4	792.0	90-100	<0	0	0	1	0	Attisvirus	Bacteria	test
YP_008408664.1	portal_terminase_packaging	0.999461114407	9.24468040466e-05	0	43.6	387.0	30-50	0-0.05	0	0	1	0	Lclasvirinae	Bacteria	test
YP_009850390.1	ligase	0.999460995197	-2.51531600952e-05	0	69.8	687.0	50-70	<0	0	0	1	0	Marfavirus	Bacteria	test
YP_009214280.1	portal_terminase_packaging	0.999460279942	0.000222682952881	0	98.1	1223.0	90-100	0-0.05	0	0	1	0	Benedictvirus	Bacteria	test
YP_009881441.1	ligase	0.999460160732	-3.61204147339e-05	0	56.8	361.0	50-70	<0	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009887132.1	tail_fiber_receptor	0.999457418919	0.000425338745117	0	55.9	409.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009887132.1	tail_assembly	0.999457418919	3.6358833313e-05	0	55.9	409.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009887132.1	ligase	0.999457418919	7.97510147095e-05	0	55.9	409.0	50-70	0-0.05	0	0	1	0	Twarogvirinae	Bacteria	test
YP_009883597.1	helicase	0.999455749989	0.000568926334381	0	77.7	386.0	70-90	0-0.05	0	0	1	0	Ackermannviridae	Bacteria	test
YP_001648892.1	integrase_recombinase	0.999455630779	8.5175037384e-05	0	67.8	619.0	50-70	0-0.05	0	0	0	0	Sepvirinae	Bacteria	test
YP_010060144.1	portal_terminase_packaging	0.999455273151	8.48174095154e-05	0	71	698.0	70-90	0-0.05	0	0	1	0	Microwolfvirus	Bacteria	test
YP_009907797.1	portal_terminase_packaging	0.999455034733	0.000174224376678	0	56	649.0	50-70	0-0.05	0	0	1	0	Sepvirinae	Bacteria	test
YP_009908185.1	integrase_recombinase	0.999454557896	8.49366188049e-05	0	67.8	619.0	50-70	0-0.05	0	0	0	0	Sepvirinae	Bacteria	test
