protein_accession	target_type	foldseek_hit_count	foldseek_top_n	foldseek_high_conf_hit_count	foldseek_near_top_hit_count	foldseek_taxname_diversity_top_n	foldseek_top_taxname_fraction	foldseek_ambiguity_index	foldseek_top_target	foldseek_top_taxname	foldseek_top_prob	foldseek_second_prob	foldseek_prob_margin	foldseek_top_qtmscore	foldseek_second_qtmscore	foldseek_qtmscore_margin	foldseek_query_coverage	structure_evidence_status	structure_claim_phrase
YP_009337337.1	matched_control	950	20	20	20	9	0.1	0.884210526316	2izw-assembly1_B	Ryegrass mottle virus	1.000	1.000	0	7.076E-01	7.016E-01	0.006	0.829268292683	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_009043771.1	high_context_candidate	68	20	0	1	15	0.05	0.318168421053	7uxe-assembly1_A	Pseudomonas phage vB_PaeM_E217	0.601	0.473	0.128	1.477E-01	1.588E-01	-0.0111	0.493449781659	ambiguous_or_weak_structure_signal	ambiguous or weak post hoc structure evidence
YP_010084498.1	high_context_candidate	57	20	0	1	16	0.05	0.376294736842	3cax-assembly1_A-2	Pyrococcus furiosus DSM 3638	0.663	0.569	0.094	1.849E-01	1.199E-01	0.065	0.248287671233	low_model_confidence	low-confidence predicted structure
NP_570774.1	matched_control	164	20	8	2	11	0.1	0.478947368421	6m5v-assembly1_A	Human alphaherpesvirus 1 strain 17	1.000	1.000	0	4.930E-01	4.834E-01	0.0096	0.908256880734	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_010740217.1	high_context_candidate	551	20	20	20	11	0.2	0.905263157895	4gp6-assembly1_B-2	Acetivibrio thermocellus ATCC 27405	1.000	1.000	0	4.046E-01	4.005E-01	0.0041	0.486803519062	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_009337908.1	high_context_candidate	3	3	0	3	1	1	0.8	8k4a-assembly1_B	Banna virus	0.000	0.000	0	9.975E-02	9.928E-02	0.00047	0.580487804878	low_model_confidence	low-confidence predicted structure
YP_010681710.1	high_context_candidate	614	20	20	20	11	0.2	0.905263157895	4gp6-assembly1_B-2	Acetivibrio thermocellus ATCC 27405	1.000	1.000	0	4.046E-01	4.037E-01	0.0009	0.486803519062	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_007675790.1	high_context_candidate	69	20	1	1	15	0.05	0.245368421053	7m4z-assembly1_n	Acinetobacter baumannii AB0057	0.900	0.720	0.18	1.374E-01	1.514E-01	-0.014	0.139737991266	ambiguous_or_weak_structure_signal	ambiguous or weak post hoc structure evidence
YP_009874071.1	high_context_candidate	124	20	0	1	10	0.05	0.248736842105	7m4z-assembly1_n	Acinetobacter baumannii AB0057	0.887	0.747	0.14	1.406E-01	1.488E-01	-0.0082	0.144104803493	ambiguous_or_weak_structure_signal	ambiguous or weak post hoc structure evidence
YP_009882250.1	high_context_candidate	194	20	15	7	10	0.35	0.586842105263	5iv5-assembly1_I	Tequatrovirus T4	1.000	1.000	0	2.303E-01	2.219E-01	0.0084	1.02479338843	local_structure_consistent	structure-consistent post hoc evidence
YP_950542.1	high_context_candidate	703	20	20	7	13	0.05	0.618421052632	5oq3-assembly1_A	Clostridioides difficile	1.000	1.000	0	4.680E-01	4.519E-01	0.0161	1.05035971223	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_009875551.1	high_context_candidate	48	20	0	1	13	0.1	0.343315789474	7nww-assembly1_r	Escherichia coli	0.632	0.537	0.095	1.531E-01	1.516E-01	0.0015	0.169565217391	ambiguous_or_weak_structure_signal	ambiguous or weak post hoc structure evidence
YP_010681399.1	matched_control	72	20	11	5	8	0.15	0.518421052632	4yc0-assembly1_A	Vibrio splendidus	1.000	1.000	0	5.759E-01	5.671E-01	0.0088	1.13245033113	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_009336785.1	matched_control	903	20	20	20	12	0.1	0.915789473684	6mrl-assembly1_D	Cucumber leaf spot virus	1.000	1.000	0	3.952E-01	3.880E-01	0.0072	0.852422907489	local_structure_consistent	structure-consistent post hoc evidence
YP_010681552.1	high_context_candidate	761	20	20	20	10	0.2	0.894736842105	4mde-assembly1_A	Acetivibrio thermocellus ATCC 27405	1.000	1.000	0	4.047E-01	4.044E-01	0.0003	0.461538461538	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_009887186.1	high_context_candidate	235	20	15	8	10	0.35	0.610526315789	5iv7-assembly1_F	Tequatrovirus T4	1.000	1.000	0	2.296E-01	2.152E-01	0.0144	0.499173553719	local_structure_consistent	structure-consistent post hoc evidence
YP_009507868.1	high_context_candidate	17	17	0	6	11	0.176470588235	0.580625	4v8a-assembly1_DO	Thermus thermophilus HB8	0.082	0.057	0.025	1.474E-01	1.475E-01	-0.0001	0.37552742616	low_model_confidence	low-confidence predicted structure
YP_008433375.1	matched_control	64	20	12	2	9	0.05	0.457894736842	6v40-assembly1_A	Salmonella enterica subsp. enterica serovar Typhi	1.000	1.000	0	7.260E-01	6.884E-01	0.0376	0.87922705314	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_004010297.1	matched_control	755	20	20	2	4	0.25	0.405263157895	1k28-assembly1_A	Tequatrovirus T4	1.000	1.000	0	4.605E-01	4.571E-01	0.0034	1.01335559265	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_009882257.1	matched_control	779	20	20	3	2	0.65	0.407894736842	1wth-assembly1_A	Tequatrovirus T4	1.000	1.000	0	4.027E-01	4.025E-01	0.0002	1.03193277311	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_007675791.1	matched_control	543	20	20	1	10	0.05	0.444736842105	8dgc-assembly1_H	Escherichia phage PhiV-1	1.000	1.000	0	4.041E-01	3.299E-01	0.0742	1.04112149533	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_009880558.1	matched_control	603	20	20	1	10	0.05	0.444736842105	8dgc-assembly1_H	Escherichia phage PhiV-1	1.000	1.000	0	4.564E-01	3.808E-01	0.0756	1.04485981308	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_010679883.1	matched_control	290	20	6	3	14	0.1	0.523010526316	4ldz-assembly1_B	Bacillus subtilis subsp. subtilis str. 168	0.975	0.967	0.008	2.536E-01	2.374E-01	0.0162	0.270718232044	local_structure_consistent	structure-consistent post hoc evidence
YP_009342304.1	matched_control	958	20	20	11	10	0.1	0.681578947368	2izw-assembly1_C	Ryegrass mottle virus	1.000	1.000	0	6.294E-01	6.182E-01	0.0112	0.72480620155	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_010681528.1	matched_control	322	20	20	8	8	0.35	0.589473684211	5fku-assembly1_A	Escherichia coli K-12	1.000	1.000	0	7.423E-01	7.337E-01	0.0086	1.08900999092	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_010740196.1	matched_control	294	20	20	10	8	0.3	0.636842105263	4iqj-assembly1_A	Thermus aquaticus	1.000	1.000	0	7.226E-01	7.225E-01	0.0001	1.09196428571	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_010680019.1	matched_control	279	20	20	8	8	0.05	0.589473684211	7pu7-assembly1_A	Mycobacterium tuberculosis	1.000	1.000	0	7.832E-01	7.718E-01	0.0114	1.10562015504	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_009874070.1	matched_control	640	20	20	2	10	0.05	0.468421052632	8dgc-assembly1_H	Escherichia phage PhiV-1	1.000	1.000	0	4.600E-01	4.112E-01	0.0488	1.04096834264	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_009362986.1	matched_control	3	3	0	3	3	0.333333333333	0.9874	8wql-assembly1_b2	Arthrospira sp. FACHB-439	0.029	0.020	0.009	1.309E-01	2.017E-01	-0.0708	0.596566523605	low_model_confidence	low-confidence predicted structure
YP_009875550.1	matched_control	576	20	20	1	11	0.05	0.455263157895	8dgc-assembly1_H	Escherichia phage PhiV-1	1.000	1.000	0	4.718E-01	3.733E-01	0.0985	1.03171641791	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_010658685.1	matched_control	643	20	20	2	10	0.05	0.468421052632	8dgc-assembly1_H	Escherichia phage PhiV-1	1.000	1.000	0	4.679E-01	4.181E-01	0.0498	1.03538175047	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_009666887.1	matched_control	45	20	0	16	12	0.2	0.812652631579	7vea-assembly1_aJ	Thermosynechococcus vestitus BP-1	0.069	0.063	0.006	2.060E-01	1.839E-01	0.0221	0.621276595745	low_model_confidence	low-confidence predicted structure
YP_010084588.1	matched_control	6	6	0	6	4	0.166666666667	0.92	4k7k-assembly2_B	Escherichia coli K-12	0.040	0.040	0	7.248E-02	5.120E-02	0.02128	0.251290877797	low_model_confidence	low-confidence predicted structure
YP_008433402.1	high_context_candidate	9	9	5	5	7	0.222222222222	0.725	4nso-assembly1_A-2	Vibrio cholerae O1 biovar El Tor str. N16961	1.000	1.000	0	1.572E-01	1.566E-01	0.0006	0.165816326531	structure_hit_on_low_confidence_model	Foldseek hit on low-confidence predicted model
YP_009666927.1	matched_control	27	20	0	7	15	0.05	0.619873684211	8imk-assembly1_s	Anthocerotibacter panamensis	0.090	0.076	0.014	2.333E-01	1.995E-01	0.0338	0.678111587983	low_model_confidence	low-confidence predicted structure
YP_010839920.1	matched_control	61	20	0	1	6	0.75	0.0526315789474	8e12-assembly1_B	synthetic construct	0.795	0.473	0.322	2.674E-01	2.705E-01	-0.0031	0.860169491525	low_model_confidence	low-confidence predicted structure
YP_010840271.1	matched_control	106	20	0	2	11	0.15	0.434147368421	1hyw-assembly1_A	Lambdavirus lambda	0.569	0.537	0.032	1.602E-01	1.599E-01	0.0003	0.20253164557	low_model_confidence	low-confidence predicted structure
YP_004009814.1	matched_control	117	20	0	3	3	0.45	0.418421052632	7ru9-assembly1_C	Homo sapiens	0.277	0.277	0	1.228E-01	9.522E-02	0.02758	0.385259631491	weak_or_inconclusive	ambiguous or weak post hoc structure evidence
YP_007678074.1	known_positive_control	182	20	5	5	11	0.2	0.55	3zqq-assembly1_C	Bacillus phage SF6	1.000	1.000	0	1.870E-01	1.761E-01	0.0109	0.528239202658	local_structure_consistent	structure-consistent post hoc evidence
YP_010657796.1	matched_control	64	20	0	20	8	0.05	0.873684210526	6s3r-assembly1_A	Pseudomonas savastanoi pv. phaseolicola 1448A	0.024	0.024	0	9.343E-02	9.249E-02	0.00094	0.430656934307	weak_or_inconclusive	ambiguous or weak post hoc structure evidence
NP_862879.1	known_positive_control	362	20	20	3	15	0.05	0.544736842105	8ecn-assembly1_H	Mycobacterium phage Ogopogo	1.000	1.000	0	7.792E-01	7.392E-01	0.04	0.96	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
NP_690779.1	known_positive_control	285	20	20	5	16	0.1	0.602631578947	3hmb-assembly3_C	Bacillus subtilis	1.000	1.000	0	5.052E-01	5.015E-01	0.0037	0.513333333333	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_001642397.1	known_positive_control	639	20	20	9	16	0.05	0.697368421053	1jfx-assembly1_A	Streptomyces coelicolor	1.000	1.000	0	5.324E-01	5.284E-01	0.004	0.733333333333	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_007007184.1	known_positive_control	685	20	20	20	2	0.1	0.810526315789	7f8x-assembly1_A	Homo sapiens	1.000	1.000	0	4.069E-01	4.051E-01	0.0018	0.733333333333	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_009149176.1	known_positive_control	425	20	20	20	3	0.9	0.821052631579	6l6s-assembly1_A	Mycolicibacterium smegmatis MC2 155	1.000	1.000	0	4.102E-01	4.095E-01	0.0007	0.69	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_009177118.1	known_positive_control	774	20	20	19	4	0.55	0.807894736842	8oiv-assembly1_A	Monkeypox virus	1.000	1.000	0	9.137E-01	9.099E-01	0.0038	1	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_008492997.1	known_positive_control	419	20	20	15	7	0.2	0.744736842105	6ey7-assembly2_B	Human herpesvirus 5 strain AD169	1.000	1.000	0	6.651E-01	6.632E-01	0.0019	0.795986622074	structure_consistent_but_ambiguous	structure-consistent but ambiguous post hoc evidence
YP_009551593.1	known_positive_control	68	20	0	3	7	0.5	0.398926315789	9dze-assembly1_h	synthetic construct	0.277	0.233	0.044	2.512E-01	3.405E-01	-0.0893	0.724590163934	low_model_confidence	low-confidence predicted structure
NP_944295.1	known_positive_control	452	20	20	1	14	0.05	0.486842105263	8jov-assembly1_l	Ralstonia phage GP4	1.000	1.000	0	3.397E-01	2.772E-01	0.0625	0.363333333333	local_structure_consistent	structure-consistent post hoc evidence
YP_003347329.1	known_positive_control	229	20	0	1	7	0.2	0.268957894737	4tql-assembly2_B	synthetic construct	0.795	0.692	0.103	1.686E-01	1.659E-01	0.0027	0.82	ambiguous_or_weak_structure_signal	ambiguous or weak post hoc structure evidence
YP_007010922.1	known_positive_control	181	20	4	2	13	0.1	0.4986	4zc3-assembly1_A	Bacillus phage SF6	1.000	0.999	0.001	1.718E-01	1.624E-01	0.0094	0.190635451505	ambiguous_or_weak_structure_signal	ambiguous or weak post hoc structure evidence
YP_001994481.1	known_positive_control	100	20	0	1	14	0.1	0.398642105263	2y1v-assembly3_C	Streptococcus pneumoniae TIGR4	0.505	0.442	0.063	1.488E-01	1.497E-01	-0.0009	0.25	ambiguous_or_weak_structure_signal	ambiguous or weak post hoc structure evidence
YP_009005751.1	known_positive_control	21	20	0	1	7	0.3	0.0631578947368	3n3f-assembly2_B	Homo sapiens	0.663	0.326	0.337	1.342E-01	1.317E-01	0.0025	0.156666666667	ambiguous_or_weak_structure_signal	ambiguous or weak post hoc structure evidence
NP_740662.1	known_positive_control	1	1	1	1	1	1	0	4hbo-assembly5_E-4	Rubella virus strain M33	0.971			1.242E-01			0.323333333333	structure_hit_on_low_confidence_model	Foldseek hit on low-confidence predicted model
YP_010840747.1	known_positive_control	85	20	0	4	12	0.1	0.479442105263	3k33-assembly1_A-2	Punavirus P1	0.179	0.138	0.041	1.742E-01	1.972E-01	-0.023	0.490066225166	low_model_confidence	low-confidence predicted structure
YP_009664552.1	known_positive_control	42	20	0	1	8	0.05	0.345284210526	3k33-assembly1_A-2	Punavirus P1	0.138	0.082	0.056	1.947E-01	1.539E-01	0.0408	0.385620915033	low_model_confidence	low-confidence predicted structure
YP_009177240.1	known_positive_control	14	14	0	4	10	0.285714285714	0.572707692308	5v8w-assembly1_A	Homo sapiens	0.090	0.076	0.014	1.466E-01	7.072E-02	0.07588	0.213333333333	low_model_confidence	low-confidence predicted structure
