protein_id	genome_id	family	host_group	predicted_label	p_protein_only_estimated	p_context	delta_p	calibrated_probability	precision_target_threshold	validation_gate_status	description	hypothetical_or_uncharacterized	module_cluster_id	exact_transfer_flag	nearest_train_identity	notes
YP_009875551.1	NC_049371.1	Rhodovirinae	Bacteria	portal_terminase_packaging	0.637627243996	0.9911086559295654	0.3534814119338989	0.9911086559295654	0.9879289269447327	validation-targeted gate; high context gain	hypothetical protein	1	0	0		nearest_train_identity filled by homology baseline script when available
YP_009874071.1	NC_049345.1	Rhodovirinae	Bacteria	portal_terminase_packaging	0.645720660686	0.9907552599906921	0.3450345993041992	0.9907552599906921	0.9879289269447327	validation-targeted gate; high context gain	N4 gp69-like protein	0	0	0		nearest_train_identity filled by homology baseline script when available
YP_009882250.1	NC_049445.1	Twarogvirinae	Bacteria	tail_assembly	0.649833023548	0.9918911457061768	0.34205812215805054	0.9918911457061768	0.9231162071228027	validation-targeted gate; high context gain	baseplate wedge subunit	0	0	0		nearest_train_identity filled by homology baseline script when available
YP_010681710.1	NC_071050.1	Heleneionescovirinae	Bacteria	polymerase	0.668928086758	0.9902760982513428	0.32134801149368286	0.9902760982513428	0.9910714626312256	validation-targeted gate; high context gain	ATPase	0	0	0		nearest_train_identity filled by homology baseline script when available
YP_009887186.1	NC_049494.1	Twarogvirinae	Bacteria	tail_assembly	0.718636870384	0.9920297861099243	0.273392915725708	0.9920297861099243	0.9231162071228027	validation-targeted gate; high context gain	baseplate wedge subunit	0	0	0		nearest_train_identity filled by homology baseline script when available
YP_008433402.1	NC_022096.1	Baikalvirus	Bacteria	lysis	0.745134830475	0.9951329827308655	0.24999815225601196	0.9951329827308655	0.989923894405365	validation-targeted gate; high context gain	putative VgrG-like protein	0	0	0		nearest_train_identity filled by homology baseline script when available
YP_009337908.1	NC_033329.1	Riboviria	root	capsid_head	0.756112396717	0.9924916625022888	0.23637926578521729	0.9924916625022888	0.993490993976593	validation-targeted gate; high context gain	hypothetical protein 2	1	0	0		nearest_train_identity filled by homology baseline script when available
YP_010681552.1	NC_071049.1	Heleneionescovirinae	Bacteria	polymerase	0.768594443798	0.9967441558837891	0.22814971208572388	0.9967441558837891	0.9910714626312256	validation-targeted gate; high context gain	polynucleotide kinase	0	0	0		nearest_train_identity filled by homology baseline script when available
YP_009507868.1	NC_038726.1	Peribunyaviridae	Metazoa	nucleocapsid	0.766286253929	0.9894487857818604	0.22316253185272217	0.9894487857818604	1.0	validation-targeted gate; high context gain	nucleocapsid protein	0	9	0		nearest_train_identity filled by homology baseline script when available
YP_010740217.1	NC_073050.1	Heleneionescovirinae	Bacteria	polymerase	0.784386515617	0.9932116270065308	0.20882511138916016	0.9932116270065308	0.9910714626312256	validation-targeted gate; high context gain	hypothetical protein	1	0	0		nearest_train_identity filled by homology baseline script when available
