scheme	subset	query	target	pident	evalue	bits	qcov	tcov	query_labels	target_labels
target_validation	all_targets	YP_010658685.1	YP_010658492.1	58.1	1.059E-213	670.0	0.987	0.987	"[""portal_terminase_packaging""]"	"[""portal_terminase_packaging""]"
target_validation	all_targets	YP_009874070.1	YP_010658492.1	57.8	4.146E-211	662.0	0.987	0.987	[]	"[""portal_terminase_packaging""]"
target_validation	all_targets	YP_004009814.1	YP_004300776.1	38.4	3.030E-68	248.0	0.816	0.825	"[""tail_fiber_receptor"", ""tail_assembly""]"	"[""tail_fiber_receptor"", ""tail_assembly""]"
target_validation	all_targets	YP_010681399.1							[]	[]
target_validation	all_targets	YP_009882257.1	YP_009146601.1	49.9	2.714E-167	539.0	0.971	0.957	"[""tail_fiber_receptor"", ""tail_assembly"", ""lysis""]"	"[""tail_fiber_receptor"", ""tail_assembly"", ""lysis""]"
target_validation	all_targets	YP_008433375.1	YP_009188914.1	42.5	2.832E-43	160.0	0.966	0.975	"[""lysis""]"	"[""lysis""]"
target_validation	all_targets	YP_009337337.1							[]	[]
target_validation	all_targets	YP_010681528.1	YP_010679498.1	68.6	0.000E+00	1552.0	1.000	0.999	"[""polymerase""]"	"[""polymerase""]"
target_validation	all_targets	YP_010840271.1							[]	[]
target_validation	all_targets	YP_010740196.1	YP_010679498.1	74.2	0.000E+00	1707.0	0.998	0.998	"[""polymerase""]"	"[""polymerase""]"
target_validation	all_targets	NP_740662.1	NP_062884.1	100.0	2.353E-195	604.0	1.000	0.282	"[""capsid_head""]"	"[""polyprotein""]"
target_validation	all_targets	NP_862879.1	NP_795521.1	64.9	7.533E-126	403.0	0.977	0.980	"[""capsid_head""]"	[]
target_validation	all_targets	YP_003347329.1	YP_003347499.1	100.0	5.501E-194	600.0	1.000	1.000	"[""capsid_head""]"	"[""capsid_head""]"
target_validation	all_targets	NP_690779.1	YP_009829898.1	100.0	4.613E-202	623.0	1.000	1.000	"[""lysis""]"	"[""lysis""]"
target_validation	all_targets	YP_001642397.1	YP_529896.1	90.2	3.865E-161	505.0	0.820	1.000	"[""lysis""]"	"[""lysis""]"
target_validation	all_targets	YP_007007184.1	YP_010842918.1	99.6	3.645E-193	597.0	1.000	1.000	"[""lysis""]"	"[""lysis""]"
target_validation	all_targets	YP_010840747.1	YP_010840048.1	57.3	4.910E-102	334.0	0.990	0.967	"[""nucleocapsid""]"	[]
target_validation	all_targets	YP_009551593.1	YP_010839743.1	26.3	3.310E-04	46.0	0.420	0.514	"[""nucleocapsid""]"	"[""nucleocapsid""]"
target_validation	all_targets	YP_009664552.1	YP_010840007.1	58.0	3.435E-103	338.0	0.928	0.907	"[""nucleocapsid""]"	"[""nucleocapsid""]"
target_validation	all_targets	YP_009149176.1	YP_009285455.1	92.3	1.492E-187	581.0	1.000	1.000	"[""polymerase""]"	"[""polymerase""]"
target_validation	all_targets	YP_009177118.1	NP_955202.1	69.8	7.375E-145	458.0	0.997	0.990	"[""polymerase""]"	"[""polymerase""]"
target_validation	all_targets	YP_009177240.1	YP_006200958.1	53.6	2.239E-86	289.0	0.997	0.997	"[""polymerase""]"	"[""polymerase""]"
target_validation	all_targets	YP_007010922.1	YP_009829814.1	53.8	1.565E-89	298.0	0.993	0.997	"[""portal_terminase_packaging""]"	"[""portal_terminase_packaging""]"
target_validation	all_targets	YP_007678074.1	YP_009277304.1	44.4	4.600E-66	230.0	0.980	0.961	"[""portal_terminase_packaging""]"	"[""portal_terminase_packaging""]"
target_validation	all_targets	YP_008492997.1	YP_009458640.1	66.4	1.438E-132	422.0	1.000	0.449	"[""portal_terminase_packaging""]"	[]
target_validation	all_targets	NP_944295.1	YP_007236808.1	85.6	2.214E-165	517.0	1.000	0.987	"[""tail_fiber_receptor"", ""tail_assembly""]"	"[""tail_fiber_receptor"", ""tail_assembly""]"
target_validation	all_targets	YP_001994481.1	YP_009211733.1	95.7	7.436E-171	533.0	0.947	0.953	"[""tail_assembly""]"	"[""tail_assembly""]"
target_validation	all_targets	YP_009005751.1	YP_009638270.1	52.0	8.267E-108	351.0	1.000	1.000	"[""tail_assembly""]"	"[""tail_assembly""]"
