audit_id	blind_pair_id	source_group	protein_accession	predicted_label	functional_group	protein_length_aa	context_score	protein_only_score	context_gain	current_evidence_class	current_label_match	phold_phrog	phold_function	phold_product	phold_annotation_confidence	phold_bitscore	phold_evalue	phold_qCov	phold_tCov	prostt5_confidence	phold_evidence_text	phold_mapped_labels	phold_mapped_groups	phold_any_functional_hit	phold_label_agreement	phold_group_agreement	phold_informative_agreement
MGA-0017	MGA-P0058	high_context_candidate	YP_007349016.1	tail_fiber_receptor	host_interface	799.0	0.9921875	0.0	0.9921875	C_current_record_no_function_label	0	31454	tail	tail fiber protein	high	3960.0	8.558e-72	0.99	0.99	45.58	tail | tail fiber protein | 31454	tail_fiber_receptor	host_interface	1	1	1	1
MGA-0018	MGA-P0031	high_context_candidate	YP_010748313.1	helicase	replication_transcription	728.0	0.9921875	0.94921875	0.04296875	C_current_record_no_function_label	0	3228	DNA, RNA and nucleotide metabolism	replicative helicase-primase	high	1209.0	2.811e-27	0.94	0.9	53.03	DNA, RNA and nucleotide metabolism | replicative helicase-primase | 3228	helicase	replication_transcription	1	1	1	1
MGA-0019	MGA-P0049	high_context_candidate	YP_009703402.1	helicase	replication_transcription	509.0	1.0	1.0	0.0	C_current_record_no_function_label	0	16	DNA, RNA and nucleotide metabolism	DNA helicase	high	964.0	3.514e-23	0.93	0.98	57.47	DNA, RNA and nucleotide metabolism | DNA helicase | 16	helicase	replication_transcription	1	1	1	1
MGA-0020	MGA-P0047	matched_control	YP_009808794.1	tail_assembly	structural_assembly	125.0	0.58203125	0.5703125	0.01171875	C_current_record_no_function_label	0	161	connector	head closure Hc1	high	679.0	4.556e-14	0.99	0.99	57.37	connector | head closure Hc1 | 161			1	0	0	0
MGA-0021	MGA-P0059	matched_control	YP_010104268.1	membrane_matrix	membrane_entry	80.0	0.0091552734375	0.78125	-0.7720947265625	C_current_record_no_function_label	0	16141	unknown function	hypothetical protein	high	360.0	5.200e-09	0.98	0.98	75.98	16141			0	0	0	0
MGA-0022	MGA-P0064	high_context_candidate	YP_009284814.1	membrane_matrix	membrane_entry	99.0	0.86328125	0.8671875	-0.00390625	D_no_current_record	0	No_PHROG	unknown function	hypothetical protein	low					83.79				0	0	0	0
MGA-0023	MGA-P0074	high_context_candidate	YP_010084666.1	portal_terminase_packaging	genome_packaging	309.0	0.9453125	0.2158203125	0.7294921875	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					47.27				0	0	0	0
MGA-0024	MGA-P0022	high_context_candidate	YP_009336762.1	polymerase	replication_transcription	2629.0	0.98046875	0.0	0.98046875	C_current_record_no_function_label	0	1423	DNA, RNA and nucleotide metabolism	Reverse transcriptase	low	540.0	2.807e-12	0.12	0.87	29.0	DNA, RNA and nucleotide metabolism | Reverse transcriptase | 1423	polymerase	replication_transcription	1	1	1	1
MGA-0025	MGA-P0019	matched_control	YP_010798445.1	capsid_head	structural_assembly	244.0	0.01324462890625	0.03564453125	-0.02239990234375	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					74.12				0	0	0	0
MGA-0026	MGA-P0001	high_context_candidate	YP_007236697.1	tail_assembly	structural_assembly	117.0	0.9765625	0.98828125	-0.01171875	C_current_record_no_function_label	0	78	connector	tail terminator	high	337.0	1.011e-08	0.95	0.98	66.85	connector | tail terminator | 78			1	0	0	0
MGA-0027	MGA-P0060	high_context_candidate	YP_008126274.1	membrane_matrix	membrane_entry	143.0	0.8125	0.21484375	0.59765625	C_current_record_no_function_label	0	733	integration and excision	excisionase	high	797.0	5.123e-17	0.99	0.99	80.57	integration and excision | excisionase | 733	integrase_recombinase	lysis_integration	1	0	0	0
MGA-0028	MGA-P0080	matched_control	YP_009798792.1	integrase_recombinase	lysis_integration	367.0	0.0002460479736328125	0.00012302398681640625	0.00012302398681640625	C_current_record_no_function_label	0	86	DNA, RNA and nucleotide metabolism	ribonucleoside diphosphate reductase small subunit	high	2259.0	8.708e-42	1.0	1.0	67.97	DNA, RNA and nucleotide metabolism | ribonucleoside diphosphate reductase small subunit | 86			1	0	0	0
MGA-0029	MGA-P0008	high_context_candidate	YP_009703824.1	methyltransferase	processing_enzyme	424.0	0.9921875	0.9921875	0.0	C_current_record_no_function_label	0	363	other	DNA methyltransferase	medium	582.0	4.857e-12	0.78	0.91	54.39	other | DNA methyltransferase | 363	methyltransferase	processing_enzyme	1	1	1	1
MGA-0030	MGA-P0064	matched_control	YP_010107639.1	membrane_matrix	membrane_entry	76.0	0.142578125	0.150390625	-0.0078125	C_current_record_no_function_label	0	24327	unknown function	hypothetical protein	high	197.0	4.904e-05	0.96	0.99	46.73	24327			0	0	0	0
MGA-0031	MGA-P0001	matched_control	YP_010062353.1	tail_assembly	structural_assembly	43.0	0.79296875	0.87890625	-0.0859375	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					63.28				0	0	0	0
MGA-0032	MGA-P0063	high_context_candidate	NP_048013.1	envelope_glycoprotein	membrane_entry	442.0	0.9375	0.984375	-0.046875	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					29.0				0	0	0	0
MGA-0033	MGA-P0005	high_context_candidate	YP_010748066.1	tail_assembly	structural_assembly	138.0	0.9140625	0.96875	-0.0546875	C_current_record_no_function_label	0	313	tail	Tail assembly chaperone	high	807.0	2.025e-20	0.99	0.99	67.43	tail | Tail assembly chaperone | 313	tail_assembly	structural_assembly	1	1	1	1
MGA-0034	MGA-P0030	high_context_candidate	YP_009600898.1	protease	processing_enzyme	118.0	0.8046875	0.0	0.8046875	C_current_record_no_function_label	0	96417	unknown function	hypothetical protein	high	326.0	8.777e-08	0.99	0.99	35.84	96417			0	0	0	0
MGA-0035	MGA-P0031	matched_control	YP_009903342.1	helicase	replication_transcription	320.0	0.5078125	0.89453125	-0.38671875	C_current_record_no_function_label	0	510	DNA, RNA and nucleotide metabolism	DNA primase	high	1659.0	2.615e-40	0.99	0.99	53.12	DNA, RNA and nucleotide metabolism | DNA primase | 510			1	0	0	0
MGA-0036	MGA-P0017	matched_control	YP_009553592.1	helicase	replication_transcription	333.0	0.40625	0.439453125	-0.033203125	C_current_record_no_function_label	0	6088	DNA, RNA and nucleotide metabolism	DNA primase	low	235.0	2.463e-04	0.41	0.17	62.55	DNA, RNA and nucleotide metabolism | DNA primase | 6088			1	0	0	0
MGA-0037	MGA-P0010	high_context_candidate	NP_043516.1	capsid_head	structural_assembly	587.0	0.984375	0.98046875	0.00390625	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					28.69				0	0	0	0
MGA-0038	MGA-P0055	high_context_candidate	YP_009845699.1	methyltransferase	processing_enzyme	302.0	1.0	0.99609375	0.00390625	C_current_record_no_function_label	0	56	other	DNA methyltransferase	high	952.0	1.194e-22	0.96	1.0	61.38	other | DNA methyltransferase | 56	methyltransferase	processing_enzyme	1	1	1	1
MGA-0039	MGA-P0020	matched_control	YP_009146309.1	tail_assembly	structural_assembly	148.0	0.3046875	0.5234375	-0.21875	C_current_record_no_function_label	0	280	head and packaging	virion structural protein	high	892.0	2.526e-20	0.99	0.99	54.93	head and packaging | virion structural protein | 280	portal_terminase_packaging	genome_packaging	1	0	0	0
MGA-0040	MGA-P0078	matched_control	YP_010096704.1	membrane_matrix	membrane_entry	149.0	0.703125	0.91796875	-0.21484375	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					65.23				0	0	0	0
MGA-0041	MGA-P0019	high_context_candidate	YP_009507983.1	capsid_head	structural_assembly	256.0	1.0	1.0	0.0	C_current_record_no_function_label	0	7551	unknown function	hypothetical protein	low	178.0	1.825e-04	0.62	0.65	42.38	7551			0	0	0	0
MGA-0042	MGA-P0012	matched_control	YP_010013299.1	helicase	replication_transcription	226.0	0.06298828125	0.1796875	-0.11669921875	C_current_record_no_function_label	0	3926	DNA, RNA and nucleotide metabolism	replication initiation protein	low	317.0	9.215e-06	0.37	0.48	67.97	DNA, RNA and nucleotide metabolism | replication initiation protein | 3926			1	0	0	0
MGA-0043	MGA-P0026	matched_control	YP_009408631.1	capsid_head	structural_assembly	132.0	0.007354736328125	0.0	0.007354736328125	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					42.07				0	0	0	0
MGA-0044	MGA-P0022	matched_control	YP_009229898.1	polymerase	replication_transcription	2779.0	0.2890625	0.0	0.2890625	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					28.76				0	0	0	0
MGA-0045	MGA-P0052	high_context_candidate	NP_047986.1	envelope_glycoprotein	membrane_entry	273.0	0.94921875	0.953125	-0.00390625	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					49.0				0	0	0	0
MGA-0046	MGA-P0028	matched_control	YP_002456056.1	polymerase	replication_transcription	63.0	0.1025390625	0.44140625	-0.3388671875	C_current_record_no_function_label	0	25778	unknown function	hypothetical protein	high	317.0	4.108e-07	0.98	0.98	62.74	25778			0	0	0	0
MGA-0047	MGA-P0078	high_context_candidate	YP_010110095.1	membrane_matrix	membrane_entry	158.0	0.84375	0.8828125	-0.0390625	C_current_record_no_function_label	0	37690	unknown function	hypothetical protein	high	573.0	2.559e-13	0.99	0.92	52.59	37690			0	0	0	0
MGA-0048	MGA-P0030	matched_control	YP_009836056.1	protease	processing_enzyme	119.0	0.1630859375	0.0	0.1630859375	C_current_record_no_function_label	0	105876	unknown function	hypothetical protein	high	591.0	1.193e-15	0.99	0.99	51.22	105876			0	0	0	0
MGA-0049	MGA-P0042	high_context_candidate	YP_010052518.1	lysis	lysis_integration	75.0	0.90625	0.0	0.90625	C_current_record_no_function_label	0	38564	unknown function	hypothetical protein	high	351.0	1.713e-09	0.99	0.99	70.17	38564			0	0	0	0
MGA-0050	MGA-P0034	matched_control	YP_010796370.1	helicase	replication_transcription	593.0	0.2216796875	0.1953125	0.0263671875	C_current_record_no_function_label	0	800	head and packaging	terminase small subunit	medium	345.0	2.588e-06	0.32	0.93	51.07	head and packaging | terminase small subunit | 800	portal_terminase_packaging	genome_packaging	1	0	0	0
MGA-0051	MGA-P0075	matched_control	YP_009615961.1	polymerase	replication_transcription	202.0	0.005218505859375	0.0002613067626953125	0.0049571990966796875	C_current_record_no_function_label	0	335	other	phosphatase	high	1198.0	1.084e-30	0.99	1.0	59.33	other | phosphatase | 335			1	0	0	0
MGA-0052	MGA-P0073	high_context_candidate	YP_006906856.1	nuclease	processing_enzyme	188.0	1.0	1.0	0.0	C_current_record_no_function_label	0	171	DNA, RNA and nucleotide metabolism	NinG/ Rap DNA junction specific endonuclease	high	1207.0	8.546e-29	0.99	0.98	76.32	DNA, RNA and nucleotide metabolism | NinG/ Rap DNA junction specific endonuclease | 171	nuclease	processing_enzyme	1	1	1	1
MGA-0053	MGA-P0052	matched_control	YP_009552481.1	envelope_glycoprotein	membrane_entry	324.0	0.193359375	0.5234375	-0.330078125	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					40.11				0	0	0	0
MGA-0054	MGA-P0024	high_context_candidate	YP_010747430.1	transcription_regulator	replication_transcription	56.0	0.89453125	0.92578125	-0.03125	C_current_record_no_function_label	0	66	integration and excision	excisionase and transcriptional regulator	high	369.0	3.795e-09	0.98	0.98	73.63	integration and excision | excisionase and transcriptional regulator | 66	integrase_recombinase,transcription_regulator	lysis_integration,replication_transcription	1	1	1	1
MGA-0055	MGA-P0076	matched_control	YP_009807004.1	portal_terminase_packaging	genome_packaging	372.0	0.000804901123046875	0.0	0.000804901123046875	C_current_record_no_function_label	0	4171	DNA, RNA and nucleotide metabolism	RecT-like ssDNA annealing protein	high	1516.0	8.809e-32	0.98	1.0	64.16	DNA, RNA and nucleotide metabolism | RecT-like ssDNA annealing protein | 4171			1	0	0	0
MGA-0056	MGA-P0054	matched_control	YP_009789256.1	tail_assembly	structural_assembly	51.0	0.296875	0.74609375	-0.44921875	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					65.97				0	0	0	0
MGA-0057	MGA-P0062	matched_control	YP_006907054.2	tail_assembly	structural_assembly	236.0	0.703125	0.3984375	0.3046875	C_current_record_no_function_label	0	8092	tail	tail fiber protein	high	992.0	9.664e-22	1.0	1.0	49.41	tail | tail fiber protein | 8092	tail_fiber_receptor	host_interface	1	0	0	0
MGA-0058	MGA-P0065	high_context_candidate	YP_009044448.1	capsid_head	structural_assembly	266.0	0.81640625	0.0	0.81640625	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					49.71				0	0	0	0
MGA-0059	MGA-P0013	matched_control	YP_009854787.1	tail_assembly	structural_assembly	155.0	0.7578125	0.87890625	-0.12109375	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					45.73				0	0	0	0
MGA-0060	MGA-P0050	matched_control	YP_009547935.1	capsid_head	structural_assembly	278.0	0.1572265625	0.0	0.1572265625	C_current_record_no_function_label	0	486	head and packaging	virion structural protein	medium	346.0	7.665e-09	0.65	0.99	45.17	head and packaging | virion structural protein | 486	portal_terminase_packaging	genome_packaging	1	0	0	0
MGA-0061	MGA-P0021	matched_control	YP_009889675.1	polymerase	replication_transcription	189.0	0.18359375	0.91015625	-0.7265625	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					52.34				0	0	0	0
MGA-0062	MGA-P0060	matched_control	YP_009219143.1	membrane_matrix	membrane_entry	87.0	0.263671875	0.32421875	-0.060546875	C_current_record_no_function_label	0	439	integration and excision	site-specific recombination directionality factor RDF	high	226.0	1.797e-05	0.99	0.99	46.73	integration and excision | site-specific recombination directionality factor RDF | 439			1	0	0	0
MGA-0063	MGA-P0040	high_context_candidate	YP_009448186.1	envelope_glycoprotein	membrane_entry	899.0	0.99609375	0.9921875	0.00390625	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					41.46				0	0	0	0
MGA-0064	MGA-P0015	high_context_candidate	YP_009837753.1	tail_fiber_receptor	host_interface	388.0	0.83203125	0.875	-0.04296875	C_current_record_no_function_label	0	3838	unknown function	hypothetical protein	high	1878.0	2.246e-43	1.0	1.0	59.38	3838			0	0	0	0
MGA-0065	MGA-P0063	matched_control	YP_009927108.1	envelope_glycoprotein	membrane_entry	124.0	0.07177734375	0.0	0.07177734375	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					38.79				0	0	0	0
MGA-0066	MGA-P0015	matched_control	YP_009902460.1	tail_fiber_receptor	host_interface	122.0	0.0311279296875	0.169921875	-0.1387939453125	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					37.16				0	0	0	0
MGA-0067	MGA-P0057	high_context_candidate	YP_009362021.1	capsid_head	structural_assembly	358.0	0.99609375	0.99609375	0.0	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					29.91				0	0	0	0
MGA-0068	MGA-P0021	high_context_candidate	YP_009336562.1	polymerase	replication_transcription	527.0	0.9921875	0.99609375	-0.00390625	C_current_record_no_function_label	0	1423	DNA, RNA and nucleotide metabolism	Reverse transcriptase	high	1356.0	9.862e-30	0.86	0.93	44.92	DNA, RNA and nucleotide metabolism | Reverse transcriptase | 1423	polymerase	replication_transcription	1	1	1	1
MGA-0069	MGA-P0056	high_context_candidate	YP_010747576.1	nuclease	processing_enzyme	474.0	0.99609375	0.99609375	0.0	C_current_record_no_function_label	0	69	DNA, RNA and nucleotide metabolism	exonuclease	high	2503.0	3.092e-57	1.0	0.99	60.6	DNA, RNA and nucleotide metabolism | exonuclease | 69	nuclease	processing_enzyme	1	1	1	1
MGA-0070	MGA-P0013	high_context_candidate	YP_009177323.1	tail_assembly	structural_assembly	160.0	0.984375	0.984375	0.0	C_current_record_no_function_label	0	222	connector	tail completion or Neck1 protein	high	844.0	1.020e-21	0.99	0.99	60.06	connector | tail completion or Neck1 protein | 222	tail_assembly	structural_assembly	1	1	1	1
MGA-0071	MGA-P0007	high_context_candidate	YP_010087802.1	capsid_head	structural_assembly	252.0	1.0	1.0	0.0	C_current_record_no_function_label	0	5955	head and packaging	virion structural protein	medium	259.0	3.590e-06	0.77	0.97	46.88	head and packaging | virion structural protein | tail | 5955	portal_terminase_packaging	genome_packaging	1	0	0	0
MGA-0072	MGA-P0079	matched_control	YP_009129270.1	capsid_head	structural_assembly	134.0	0.056640625	0.0	0.056640625	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					42.9				0	0	0	0
MGA-0073	MGA-P0071	matched_control	YP_010740074.1	nuclease	processing_enzyme	110.0	0.06640625	0.1337890625	-0.0673828125	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					57.28				0	0	0	0
MGA-0074	MGA-P0068	high_context_candidate	YP_009337396.1	polymerase	replication_transcription	812.0	0.95703125	0.0	0.95703125	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					37.23				0	0	0	0
MGA-0075	MGA-P0047	high_context_candidate	YP_009026381.1	nucleocapsid	structural_assembly	210.0	0.98046875	0.94921875	0.03125	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					45.21				0	0	0	0
MGA-0076	MGA-P0046	matched_control	YP_004322593.1	ligase	processing_enzyme	123.0	0.2109375	0.1591796875	0.0517578125	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					48.63				0	0	0	0
MGA-0077	MGA-P0071	high_context_candidate	YP_009333607.1	polyprotein	processing_enzyme	3552.0	1.0	1.0	0.0	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					25.17				0	0	0	0
MGA-0078	MGA-P0067	high_context_candidate	YP_009274081.1	membrane_matrix	membrane_entry	129.0	0.96875	0.95703125	0.01171875	C_current_record_no_function_label	0	3798	unknown function	hypothetical protein	high	591.0	1.096e-13	0.98	0.98	68.6	3798			0	0	0	0
MGA-0079	MGA-P0069	matched_control	YP_009197118.1	membrane_matrix	membrane_entry	48.0	0.15234375	0.181640625	-0.029296875	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					58.74				0	0	0	0
MGA-0080	MGA-P0058	matched_control	YP_009147528.1	tail_fiber_receptor	host_interface	491.0	0.4296875	0.0	0.4296875	C_current_record_no_function_label	0	17426	tail	adhesin	high	2101.0	6.406e-51	1.0	1.0	81.05	tail | adhesin | 17426	tail_fiber_receptor	host_interface	1	1	1	1
MGA-0081	MGA-P0079	high_context_candidate	YP_010798459.1	capsid_head	structural_assembly	245.0	0.99609375	1.0	-0.00390625	C_current_record_no_function_label	0	24754	tail	tail fiber protein	low	202.0	1.367e-04	0.92	0.91	44.43	tail | tail fiber protein | 24754	tail_fiber_receptor	host_interface	1	0	0	0
MGA-0082	MGA-P0009	high_context_candidate	YP_010102011.1	transcription_regulator	replication_transcription	63.0	0.96484375	0.984375	-0.01953125	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					77.2				0	0	0	0
MGA-0083	MGA-P0073	matched_control	YP_009187898.1	nuclease	processing_enzyme	241.0	0.0006256103515625	0.0007781982421875	-0.000152587890625	C_current_record_no_function_label	0	368	unknown function	hypothetical protein	high	1117.0	1.418e-26	1.0	1.0	69.92	368			0	0	0	0
MGA-0084	MGA-P0004	matched_control	YP_009595819.1	transcription_regulator	replication_transcription	333.0	0.0128173828125	0.58203125	-0.5692138671875	C_current_record_no_function_label	0	1590	unknown function	hypothetical protein	high	1995.0	2.576e-43	1.0	1.0	64.6	1590			0	0	0	0
MGA-0085	MGA-P0043	matched_control	YP_010667629.1	lysis	lysis_integration	61.0	0.390625	0.0	0.390625	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					68.16				0	0	0	0
MGA-0086	MGA-P0028	high_context_candidate	YP_008433444.1	polymerase	replication_transcription	377.0	0.8984375	0.9453125	-0.046875	C_current_record_no_function_label	0	19229	unknown function	hypothetical protein	high	1640.0	7.870e-34	0.99	0.99	52.49	19229			0	0	0	0
MGA-0087	MGA-P0007	matched_control	YP_009508339.1	capsid_head	structural_assembly	132.0	0.08251953125	0.0	0.08251953125	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					46.66				0	0	0	0
MGA-0088	MGA-P0061	high_context_candidate	YP_010840638.1	nucleocapsid	structural_assembly	237.0	0.99609375	0.0	0.99609375	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					41.6				0	0	0	0
MGA-0089	MGA-P0048	high_context_candidate	YP_009362537.1	ligase	processing_enzyme	270.0	0.8359375	0.77734375	0.05859375	C_current_record_no_function_label	0	12949	DNA, RNA and nucleotide metabolism	RNA ligase	high	1340.0	3.961e-33	1.0	1.0	56.15	DNA, RNA and nucleotide metabolism | RNA ligase | 12949	ligase	processing_enzyme	1	1	1	1
MGA-0090	MGA-P0036	high_context_candidate	YP_009277043.1	tail_fiber_receptor	host_interface	471.0	0.984375	0.9921875	-0.0078125	C_current_record_no_function_label	0	29706	tail	tail spike protein	medium	599.0	5.533e-11	0.66	0.82	52.88	tail | tail spike protein | 29706	tail_fiber_receptor,envelope_glycoprotein	host_interface,membrane_entry	1	1	1	1
MGA-0091	MGA-P0046	high_context_candidate	YP_010077892.1	ligase	processing_enzyme	533.0	0.86328125	0.19921875	0.6640625	D_no_current_record	0	12709	unknown function	hypothetical protein	high	1037.0	1.250e-26	1.0	1.0	31.03	12709			0	0	0	0
MGA-0092	MGA-P0038	high_context_candidate	YP_010084632.1	envelope_glycoprotein	membrane_entry	253.0	0.9921875	0.0	0.9921875	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					66.16				0	0	0	0
MGA-0093	MGA-P0020	high_context_candidate	YP_009043949.1	tail_assembly	structural_assembly	126.0	0.98046875	0.9921875	-0.01171875	C_current_record_no_function_label	0	183	tail	tail chaperone protein	high	718.0	2.048e-16	0.99	0.99	66.16	tail | tail chaperone protein | 183			1	0	0	0
MGA-0094	MGA-P0029	high_context_candidate	YP_010747553.1	transcription_regulator	replication_transcription	223.0	0.98828125	0.9765625	0.01171875	C_current_record_no_function_label	0	63	transcription regulation	anti-repressor Ant	high	1423.0	3.080e-35	1.0	1.0	77.73	transcription regulation | anti-repressor Ant | 63	transcription_regulator	replication_transcription	1	1	1	1
MGA-0095	MGA-P0034	high_context_candidate	YP_010657872.1	helicase	replication_transcription	714.0	0.89453125	0.84375	0.05078125	C_current_record_no_function_label	0	2135	DNA, RNA and nucleotide metabolism	DNA primase	high	3262.0	4.389e-69	1.0	0.99	55.76	DNA, RNA and nucleotide metabolism | DNA primase | 2135			1	0	0	0
MGA-0096	MGA-P0024	matched_control	YP_009884612.1	transcription_regulator	replication_transcription	57.0	0.07275390625	0.369140625	-0.29638671875	C_current_record_no_function_label	0	No_PHROG	unknown function	hypothetical protein	low					52.39				0	0	0	0
